"","hbr","area_name","sex","year","age_group","population_size"
"1","S92000003","Scotland","All",2012,"0-44 years",2930967
"2","S92000003","Scotland","All",2012,"45-64 years",1456892
"3","S92000003","Scotland","All",2012,"65-74 years",507288
"4","S92000003","Scotland","All",2012,"75plus years",418453
"5","S92000003","Scotland","All",2012,"All",5313600
"6","S08000001","Ayrshire and Arran","All",2012,"0-44 years",190586
"7","S08000001","Ayrshire and Arran","All",2012,"45-64 years",108051
"8","S08000001","Ayrshire and Arran","All",2012,"65-74 years",41744
"9","S08000001","Ayrshire and Arran","All",2012,"75plus years",32839
"10","S08000001","Ayrshire and Arran","All",2012,"All",373220
"11","S08000002","Borders","All",2012,"0-44 years",54038
"12","S08000002","Borders","All",2012,"45-64 years",34745
"13","S08000002","Borders","All",2012,"65-74 years",13863
"14","S08000002","Borders","All",2012,"75plus years",11074
"15","S08000002","Borders","All",2012,"All",113720
"16","S08000003","Dumfries and Galloway","All",2012,"0-44 years",71176
"17","S08000003","Dumfries and Galloway","All",2012,"45-64 years",45319
"18","S08000003","Dumfries and Galloway","All",2012,"65-74 years",18864
"19","S08000003","Dumfries and Galloway","All",2012,"75plus years",15481
"20","S08000003","Dumfries and Galloway","All",2012,"All",150840
"21","S08000004","Fife","All",2012,"0-44 years",197066
"22","S08000004","Fife","All",2012,"45-64 years",101991
"23","S08000004","Fife","All",2012,"65-74 years",37519
"24","S08000004","Fife","All",2012,"75plus years",29634
"25","S08000004","Fife","All",2012,"All",366210
"26","S08000005","Forth Valley","All",2012,"0-44 years",164596
"27","S08000005","Forth Valley","All",2012,"45-64 years",83042
"28","S08000005","Forth Valley","All",2012,"65-74 years",29046
"29","S08000005","Forth Valley","All",2012,"75plus years",22406
"30","S08000005","Forth Valley","All",2012,"All",299090
"31","S08000006","Grampian","All",2012,"0-44 years",323953
"32","S08000006","Grampian","All",2012,"45-64 years",155419
"33","S08000006","Grampian","All",2012,"65-74 years",51458
"34","S08000006","Grampian","All",2012,"75plus years",42570
"35","S08000006","Grampian","All",2012,"All",573400
"36","S08000007","Greater Glasgow and Clyde","All",2012,"0-44 years",654046
"37","S08000007","Greater Glasgow and Clyde","All",2012,"45-64 years",300928
"38","S08000007","Greater Glasgow and Clyde","All",2012,"65-74 years",96792
"39","S08000007","Greater Glasgow and Clyde","All",2012,"75plus years",85554
"40","S08000007","Greater Glasgow and Clyde","All",2012,"All",1137320
"41","S08000008","Highland","All",2012,"0-44 years",158562
"42","S08000008","Highland","All",2012,"45-64 years",96015
"43","S08000008","Highland","All",2012,"65-74 years",36668
"44","S08000008","Highland","All",2012,"75plus years",28555
"45","S08000008","Highland","All",2012,"All",319800
"46","S08000009","Lanarkshire","All",2012,"0-44 years",362336
"47","S08000009","Lanarkshire","All",2012,"45-64 years",182563
"48","S08000009","Lanarkshire","All",2012,"65-74 years",60695
"49","S08000009","Lanarkshire","All",2012,"75plus years",46626
"50","S08000009","Lanarkshire","All",2012,"All",652220
"51","S08000010","Lothian","All",2012,"0-44 years",499533
"52","S08000010","Lothian","All",2012,"45-64 years",214829
"53","S08000010","Lothian","All",2012,"65-74 years",69804
"54","S08000010","Lothian","All",2012,"75plus years",59574
"55","S08000010","Lothian","All",2012,"All",843740
"56","S08000011","Orkney","All",2012,"0-44 years",10603
"57","S08000011","Orkney","All",2012,"45-64 years",6477
"58","S08000011","Orkney","All",2012,"65-74 years",2601
"59","S08000011","Orkney","All",2012,"75plus years",1849
"60","S08000011","Orkney","All",2012,"All",21530
"61","S08000012","Shetland","All",2012,"0-44 years",12604
"62","S08000012","Shetland","All",2012,"45-64 years",6621
"63","S08000012","Shetland","All",2012,"65-74 years",2304
"64","S08000012","Shetland","All",2012,"75plus years",1681
"65","S08000012","Shetland","All",2012,"All",23210
"66","S08000013","Tayside","All",2012,"0-44 years",218701
"67","S08000013","Tayside","All",2012,"45-64 years",112675
"68","S08000013","Tayside","All",2012,"65-74 years",42584
"69","S08000013","Tayside","All",2012,"75plus years",37780
"70","S08000013","Tayside","All",2012,"All",411740
"71","S08000014","Western Isles","All",2012,"0-44 years",13167
"72","S08000014","Western Isles","All",2012,"45-64 years",8217
"73","S08000014","Western Isles","All",2012,"65-74 years",3346
"74","S08000014","Western Isles","All",2012,"75plus years",2830
"75","S08000014","Western Isles","All",2012,"All",27560
"76","S92000003","Scotland","Males",2012,"0-44 years",1462539
"77","S92000003","Scotland","Males",2012,"45-64 years",711781
"78","S92000003","Scotland","Males",2012,"65-74 years",238979
"79","S92000003","Scotland","Males",2012,"75plus years",163991
"80","S92000003","Scotland","Males",2012,"All",2577290
"81","S08000001","Ayrshire and Arran","Males",2012,"0-44 years",94019
"82","S08000001","Ayrshire and Arran","Males",2012,"45-64 years",51909
"83","S08000001","Ayrshire and Arran","Males",2012,"65-74 years",19737
"84","S08000001","Ayrshire and Arran","Males",2012,"75plus years",13009
"85","S08000001","Ayrshire and Arran","Males",2012,"All",178674
"86","S08000002","Borders","Males",2012,"0-44 years",26777
"87","S08000002","Borders","Males",2012,"45-64 years",17128
"88","S08000002","Borders","Males",2012,"65-74 years",6668
"89","S08000002","Borders","Males",2012,"75plus years",4610
"90","S08000002","Borders","Males",2012,"All",55183
"91","S08000003","Dumfries and Galloway","Males",2012,"0-44 years",35404
"92","S08000003","Dumfries and Galloway","Males",2012,"45-64 years",22185
"93","S08000003","Dumfries and Galloway","Males",2012,"65-74 years",9090
"94","S08000003","Dumfries and Galloway","Males",2012,"75plus years",6533
"95","S08000003","Dumfries and Galloway","Males",2012,"All",73212
"96","S08000004","Fife","Males",2012,"0-44 years",97837
"97","S08000004","Fife","Males",2012,"45-64 years",49789
"98","S08000004","Fife","Males",2012,"65-74 years",17921
"99","S08000004","Fife","Males",2012,"75plus years",11901
"100","S08000004","Fife","Males",2012,"All",177448
"101","S08000005","Forth Valley","Males",2012,"0-44 years",81920
"102","S08000005","Forth Valley","Males",2012,"45-64 years",40783
"103","S08000005","Forth Valley","Males",2012,"65-74 years",13680
"104","S08000005","Forth Valley","Males",2012,"75plus years",8977
"105","S08000005","Forth Valley","Males",2012,"All",145360
"106","S08000006","Grampian","Males",2012,"0-44 years",164290
"107","S08000006","Grampian","Males",2012,"45-64 years",77598
"108","S08000006","Grampian","Males",2012,"65-74 years",24627
"109","S08000006","Grampian","Males",2012,"75plus years",17113
"110","S08000006","Grampian","Males",2012,"All",283628
"111","S08000007","Greater Glasgow and Clyde","Males",2012,"0-44 years",325590
"112","S08000007","Greater Glasgow and Clyde","Males",2012,"45-64 years",145210
"113","S08000007","Greater Glasgow and Clyde","Males",2012,"65-74 years",44592
"114","S08000007","Greater Glasgow and Clyde","Males",2012,"75plus years",31602
"115","S08000007","Greater Glasgow and Clyde","Males",2012,"All",546994
"116","S08000008","Highland","Males",2012,"0-44 years",79766
"117","S08000008","Highland","Males",2012,"45-64 years",47127
"118","S08000008","Highland","Males",2012,"65-74 years",17776
"119","S08000008","Highland","Males",2012,"75plus years",11547
"120","S08000008","Highland","Males",2012,"All",156216
"121","S08000009","Lanarkshire","Males",2012,"0-44 years",180254
"122","S08000009","Lanarkshire","Males",2012,"45-64 years",88336
"123","S08000009","Lanarkshire","Males",2012,"65-74 years",28122
"124","S08000009","Lanarkshire","Males",2012,"75plus years",17847
"125","S08000009","Lanarkshire","Males",2012,"All",314559
"126","S08000010","Lothian","Males",2012,"0-44 years",248816
"127","S08000010","Lothian","Males",2012,"45-64 years",105691
"128","S08000010","Lothian","Males",2012,"65-74 years",32590
"129","S08000010","Lothian","Males",2012,"75plus years",23252
"130","S08000010","Lothian","Males",2012,"All",410349
"131","S08000011","Orkney","Males",2012,"0-44 years",5312
"132","S08000011","Orkney","Males",2012,"45-64 years",3296
"133","S08000011","Orkney","Males",2012,"65-74 years",1293
"134","S08000011","Orkney","Males",2012,"75plus years",792
"135","S08000011","Orkney","Males",2012,"All",10693
"136","S08000012","Shetland","Males",2012,"0-44 years",6492
"137","S08000012","Shetland","Males",2012,"45-64 years",3417
"138","S08000012","Shetland","Males",2012,"65-74 years",1159
"139","S08000012","Shetland","Males",2012,"75plus years",702
"140","S08000012","Shetland","Males",2012,"All",11770
"141","S08000013","Tayside","Males",2012,"0-44 years",109358
"142","S08000013","Tayside","Males",2012,"45-64 years",55120
"143","S08000013","Tayside","Males",2012,"65-74 years",20086
"144","S08000013","Tayside","Males",2012,"75plus years",15034
"145","S08000013","Tayside","Males",2012,"All",199598
"146","S08000014","Western Isles","Males",2012,"0-44 years",6704
"147","S08000014","Western Isles","Males",2012,"45-64 years",4192
"148","S08000014","Western Isles","Males",2012,"65-74 years",1638
"149","S08000014","Western Isles","Males",2012,"75plus years",1072
"150","S08000014","Western Isles","Males",2012,"All",13606
"151","S92000003","Scotland","Females",2012,"0-44 years",1468428
"152","S92000003","Scotland","Females",2012,"45-64 years",745111
"153","S92000003","Scotland","Females",2012,"65-74 years",268309
"154","S92000003","Scotland","Females",2012,"75plus years",254462
"155","S92000003","Scotland","Females",2012,"All",2736310
"156","S08000001","Ayrshire and Arran","Females",2012,"0-44 years",96567
"157","S08000001","Ayrshire and Arran","Females",2012,"45-64 years",56142
"158","S08000001","Ayrshire and Arran","Females",2012,"65-74 years",22007
"159","S08000001","Ayrshire and Arran","Females",2012,"75plus years",19830
"160","S08000001","Ayrshire and Arran","Females",2012,"All",194546
"161","S08000002","Borders","Females",2012,"0-44 years",27261
"162","S08000002","Borders","Females",2012,"45-64 years",17617
"163","S08000002","Borders","Females",2012,"65-74 years",7195
"164","S08000002","Borders","Females",2012,"75plus years",6464
"165","S08000002","Borders","Females",2012,"All",58537
"166","S08000003","Dumfries and Galloway","Females",2012,"0-44 years",35772
"167","S08000003","Dumfries and Galloway","Females",2012,"45-64 years",23134
"168","S08000003","Dumfries and Galloway","Females",2012,"65-74 years",9774
"169","S08000003","Dumfries and Galloway","Females",2012,"75plus years",8948
