"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen City,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"227,560","227,647","227,604","227,655","227,885","228,235","228,592","228,970","229,374","229,783","230,170","230,565","230,927","231,279","231,586","231,884","232,141","232,362","232,521","232,611","232,697","232,739","232,795","232,843","232,863","232,902"
0,"2,304","2,280","2,284","2,249","2,220","2,197","2,176","2,159","2,139","2,122","2,110","2,097","2,085","2,089","2,085","2,083","2,089","2,099","2,105","2,116","2,127","2,142","2,147","2,153","2,160","2,162"
1,"2,331","2,248","2,231","2,235","2,205","2,173","2,154","2,135","2,120","2,100","2,084","2,074","2,063","2,049","2,053","2,049","2,047","2,053","2,063","2,069","2,080","2,089","2,104","2,111","2,117","2,124"
2,"2,470","2,272","2,192","2,181","2,189","2,162","2,125","2,110","2,094","2,079","2,059","2,043","2,035","2,024","2,010","2,013","2,009","2,007","2,013","2,023","2,029","2,040","2,048","2,063","2,068","2,075"
3,"2,357","2,420","2,235","2,161","2,146","2,160","2,132","2,098","2,085","2,069","2,054","2,035","2,020","2,012","2,001","1,988","1,990","1,986","1,984","1,990","2,000","2,006","2,017","2,025","2,040","2,045"
4,"2,289","2,311","2,376","2,193","2,133","2,110","2,125","2,100","2,068","2,055","2,039","2,024","2,007","1,994","1,986","1,975","1,962","1,964","1,961","1,959","1,965","1,975","1,981","1,992","2,000","2,015"
5,"2,360","2,274","2,295","2,363","2,182","2,126","2,101","2,115","2,091","2,058","2,045","2,030","2,016","2,000","1,987","1,981","1,969","1,956","1,959","1,955","1,953","1,959","1,969","1,975","1,986","1,995"
6,"2,388","2,336","2,256","2,279","2,347","2,170","2,111","2,087","2,101","2,076","2,043","2,031","2,017","2,003","1,987","1,974","1,968","1,956","1,943","1,946","1,942","1,940","1,946","1,956","1,962","1,973"
7,"2,339","2,362","2,313","2,234","2,256","2,324","2,150","2,094","2,069","2,084","2,059","2,026","2,014","2,001","1,987","1,971","1,959","1,953","1,941","1,928","1,931","1,927","1,925","1,931","1,941","1,947"
8,"2,246","2,328","2,347","2,301","2,226","2,247","2,316","2,140","2,084","2,059","2,075","2,050","2,017","2,005","1,992","1,978","1,962","1,950","1,944","1,932","1,919","1,922","1,918","1,917","1,923","1,932"
9,"2,184","2,232","2,309","2,330","2,289","2,214","2,232","2,301","2,130","2,075","2,049","2,064","2,039","2,006","1,994","1,982","1,969","1,953","1,941","1,935","1,923","1,909","1,912","1,908","1,907","1,913"
10,"2,177","2,182","2,228","2,305","2,324","2,284","2,209","2,228","2,295","2,126","2,075","2,047","2,061","2,036","2,003","1,991","1,979","1,966","1,950","1,938","1,932","1,920","1,906","1,909","1,905","1,904"
11,"2,033","2,157","2,166","2,212","2,288","2,304","2,266","2,192","2,211","2,277","2,110","2,062","2,033","2,047","2,022","1,988","1,976","1,964","1,951","1,935","1,923","1,917","1,906","1,892","1,895","1,891"
12,"1,938","2,022","2,146","2,158","2,204","2,278","2,291","2,254","2,183","2,202","2,265","2,100","2,055","2,023","2,039","2,014","1,980","1,968","1,956","1,943","1,928","1,916","1,910","1,899","1,885","1,888"
13,"1,899","1,929","2,012","2,137","2,151","2,200","2,270","2,282","2,246","2,177","2,195","2,258","2,094","2,051","2,017","2,033","2,008","1,974","1,962","1,950","1,937","1,922","1,910","1,904","1,893","1,879"
14,"1,777","1,904","1,934","2,019","2,140","2,158","2,209","2,277","2,287","2,251","2,182","2,200","2,263","2,099","2,056","2,022","2,039","2,014","1,980","1,968","1,956","1,943","1,928","1,916","1,910","1,899"
15,"1,741","1,786","1,911","1,943","2,026","2,146","2,166","2,217","2,284","2,293","2,258","2,189","2,207","2,269","2,106","2,064","2,028","2,045","2,020","1,986","1,974","1,962","1,949","1,934","1,922","1,916"
16,"1,742","1,748","1,793","1,919","1,950","2,031","2,152","2,172","2,223","2,288","2,296","2,263","2,194","2,212","2,274","2,112","2,071","2,036","2,053","2,027","1,994","1,983","1,971","1,958","1,943","1,931"
17,"1,843","1,800","1,803","1,846","1,977","2,009","2,092","2,209","2,233","2,282","2,347","2,350","2,318","2,252","2,266","2,328","2,166","2,126","2,088","2,105","2,080","2,047","2,036","2,024","2,011","1,996"
18,"2,186","2,267","2,212","2,193","2,250","2,377","2,427","2,513","2,643","2,673","2,702","2,787","2,774","2,736","2,664","2,678","2,727","2,563","2,516","2,469","2,486","2,462","2,430","2,420","2,411","2,397"
19,"2,961","2,843","2,888","2,824","2,811","2,882","3,024","3,082","3,170","3,319","3,358","3,373","3,474","3,445","3,403","3,321","3,330","3,365","3,195","3,136","3,072","3,091","3,069","3,038","3,027","3,021"
20,"3,455","3,352","3,226","3,266","3,194","3,187","3,263","3,408","3,472","3,564","3,722","3,765","3,770","3,877","3,841","3,795","3,710","3,715","3,750","3,573","3,515","3,443","3,462","3,440","3,408","3,398"
21,"4,011","3,592","3,492","3,371","3,407","3,331","3,327","3,405","3,547","3,615","3,705","3,867","3,912","3,915","4,019","3,979","3,931","3,849","3,851","3,882","3,705","3,647","3,572","3,592","3,570","3,537"
22,"3,845","3,974","3,579","3,480","3,381","3,408","3,323","3,324","3,400","3,541","3,608","3,694","3,855","3,899","3,900","4,003","3,961","3,907","3,831","3,830","3,858","3,684","3,626","3,551","3,569","3,548"
23,"3,728","3,876","3,948","3,592","3,493","3,420","3,424","3,330","3,334","3,403","3,545","3,606","3,689","3,848","3,894","3,891","3,994","3,948","3,896","3,821","3,817","3,841","3,675","3,614","3,537","3,555"
24,"3,586","3,780","3,893","3,939","3,622","3,539","3,465","3,454","3,353","3,358","3,430","3,568","3,627","3,706","3,867","3,910","3,906","4,007","3,958","3,909","3,833","3,828","3,849","3,689","3,628","3,554"
25,"4,090","3,698","3,850","3,938","3,985","3,700","3,633","3,550","3,527","3,428","3,436","3,503","3,636","3,699","3,775","3,936","3,982","3,974","4,074","4,021","3,974","3,900","3,893","3,913","3,756","3,693"
