"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"261,470","262,352","263,116","263,765","264,500","265,294","266,050","266,650","267,131","267,555","267,896","268,133","268,304","268,428","268,479","268,490","268,469","268,367","268,266","268,179","268,077","267,976","267,912","267,864","267,815","267,796"
0,"2,768","2,602","2,618","2,594","2,570","2,548","2,536","2,521","2,511","2,498","2,475","2,463","2,454","2,442","2,439","2,431","2,429","2,428","2,439","2,452","2,463","2,485","2,495","2,505","2,520","2,524"
1,"2,777","2,839","2,674","2,685","2,666","2,645","2,620","2,608","2,591","2,581","2,568","2,544","2,531","2,522","2,510","2,507","2,498","2,496","2,495","2,506","2,519","2,532","2,555","2,565","2,574","2,589"
2,"2,985","2,829","2,885","2,724","2,734","2,713","2,699","2,668","2,654","2,637","2,627","2,614","2,588","2,575","2,566","2,554","2,551","2,542","2,540","2,539","2,550","2,563","2,577","2,600","2,611","2,620"
3,"2,958","3,046","2,884","2,935","2,781","2,792","2,770","2,753","2,721","2,707","2,690","2,679","2,666","2,641","2,628","2,616","2,605","2,602","2,593","2,591","2,590","2,601","2,615","2,629","2,652","2,665"
4,"3,076","3,001","3,082","2,918","2,968","2,818","2,828","2,806","2,787","2,755","2,741","2,724","2,712","2,698","2,673","2,660","2,648","2,637","2,634","2,625","2,623","2,622","2,633","2,647","2,661","2,684"
5,"3,005","3,112","3,037","3,113","2,953","3,003","2,853","2,860","2,839","2,820","2,788","2,773","2,755","2,742","2,729","2,704","2,691","2,679","2,668","2,665","2,656","2,653","2,652","2,663","2,677","2,692"
6,"3,094","3,046","3,143","3,066","3,147","2,983","3,034","2,880","2,887","2,866","2,847","2,815","2,800","2,782","2,769","2,756","2,731","2,717","2,705","2,694","2,690","2,681","2,678","2,677","2,688","2,702"
7,"3,302","3,109","3,062","3,157","3,085","3,165","3,001","3,047","2,895","2,904","2,882","2,863","2,831","2,817","2,799","2,786","2,773","2,748","2,734","2,723","2,712","2,708","2,699","2,696","2,695","2,706"
8,"3,432","3,329","3,138","3,091","3,186","3,114","3,193","3,030","3,071","2,921","2,930","2,908","2,889","2,857","2,843","2,825","2,812","2,799","2,774","2,760","2,748","2,738","2,734","2,725","2,722","2,721"
9,"3,383","3,454","3,354","3,163","3,117","3,207","3,139","3,218","3,052","3,090","2,942","2,953","2,931","2,911","2,880","2,866","2,848","2,835","2,821","2,797","2,782","2,771","2,760","2,757","2,748","2,745"
10,"3,278","3,386","3,453","3,357","3,170","3,122","3,211","3,144","3,222","3,054","3,091","2,944","2,957","2,935","2,915","2,884","2,871","2,853","2,840","2,826","2,802","2,787","2,776","2,765","2,762","2,753"
11,"3,117","3,285","3,391","3,455","3,362","3,178","3,130","3,216","3,149","3,228","3,058","3,093","2,949","2,962","2,940","2,920","2,889","2,876","2,859","2,846","2,832","2,808","2,793","2,782","2,770","2,767"
12,"3,114","3,120","3,294","3,397","3,469","3,377","3,192","3,146","3,228","3,162","3,242","3,069","3,103","2,960","2,973","2,951","2,931","2,900","2,887","2,870","2,857","2,843","2,819","2,804","2,793","2,781"
13,"2,945","3,110","3,121","3,296","3,401","3,471","3,385","3,201","3,155","3,236","3,169","3,249","3,076","3,107","2,967","2,980","2,958","2,938","2,907","2,894","2,877","2,864","2,851","2,827","2,812","2,801"
14,"2,918","2,936","3,101","3,120","3,294","3,399","3,465","3,382","3,199","3,154","3,234","3,168","3,247","3,073","3,103","2,962","2,977","2,954","2,934","2,904","2,891","2,874","2,861","2,848","2,824","2,809"
15,"2,881","2,914","2,938","3,102","3,126","3,297","3,403","3,467","3,386","3,204","3,158","3,237","3,171","3,250","3,075","3,103","2,963","2,978","2,955","2,935","2,905","2,892","2,875","2,862","2,849","2,825"
16,"2,782","2,872","2,904","2,931","3,094","3,120","3,293","3,399","3,461","3,384","3,202","3,156","3,232","3,167","3,247","3,071","3,097","2,955","2,972","2,949","2,928","2,898","2,885","2,868","2,855","2,842"
17,"2,779","2,747","2,846","2,883","2,906","3,064","3,095","3,269","3,372","3,433","3,359","3,181","3,134","3,207","3,144","3,224","3,049","3,074","2,934","2,952","2,929","2,908","2,878","2,865","2,848","2,835"
18,"2,771","2,544","2,513","2,610","2,651","2,669","2,812","2,840","3,007","3,091","3,144","3,082","2,919","2,876","2,937","2,882","2,956","2,793","2,815","2,686","2,705","2,682","2,664","2,636","2,623","2,606"
19,"2,539","2,467","2,257","2,223","2,314","2,356","2,375","2,495","2,522","2,678","2,742","2,785","2,739","2,593","2,556","2,604","2,561","2,624","2,483","2,496","2,385","2,405","2,382","2,367","2,342","2,330"
20,"2,492","2,486","2,418","2,217","2,184","2,275","2,319","2,336","2,452","2,479","2,633","2,692","2,732","2,692","2,551","2,515","2,559","2,520","2,580","2,442","2,453","2,347","2,369","2,345","2,330","2,306"
21,"2,375","2,466","2,460","2,386","2,199","2,168","2,255","2,297","2,316","2,426","2,456","2,609","2,662","2,702","2,664","2,531","2,497","2,535","2,497","2,557","2,420","2,426","2,327","2,347","2,324","2,309"
22,"2,444","2,408","2,490","2,475","2,400","2,219","2,191","2,269","2,312","2,332","2,438","2,469","2,619","2,671","2,706","2,676","2,547","2,512","2,544","2,507","2,566","2,434","2,433","2,341","2,359","2,337"
23,"2,664","2,444","2,422","2,493","2,481","2,403","2,229","2,201","2,275","2,318","2,338","2,443","2,475","2,621","2,670","2,702","2,676","2,554","2,517","2,548","2,510","2,565","2,438","2,433","2,345","2,364"
24,"2,714","2,635","2,431","2,417","2,481","2,465","2,389","2,223","2,194","2,264","2,308","2,330","2,432","2,464","2,607","2,650","2,679","2,656","2,543","2,505","2,532","2,497","2,550","2,425","2,419","2,333"
25,"2,620","2,690","2,611","2,420","2,412","2,474","2,454","2,378","2,219","2,188","2,256","2,300","2,324","2,422","2,454","2,591","2,630","2,656","2,639","2,533","2,495","2,518","2,484","2,534","2,411","2,405"
