"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Angus,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"116,040","116,119","116,066","115,968","115,891","115,816","115,714","115,603","115,475","115,305","115,138","114,984","114,781","114,585","114,357","114,122","113,869","113,620","113,382","113,103","112,831","112,589","112,347","112,119","111,906","111,680"
0,"1,005",995,999,987,983,979,977,977,977,967,965,960,956,949,943,939,936,936,931,930,929,932,933,934,934,933
1,"1,080","1,031","1,023","1,024","1,013","1,009","1,004","1,002","1,002","1,002",992,990,985,981,975,969,965,962,963,958,957,956,958,959,960,961
2,"1,099","1,100","1,055","1,046","1,046","1,034","1,030","1,025","1,023","1,023","1,023","1,013","1,011","1,005","1,002",996,990,985,982,983,978,977,976,978,979,980
3,"1,143","1,112","1,111","1,064","1,056","1,056","1,045","1,041","1,035","1,033","1,033","1,033","1,023","1,021","1,015","1,012","1,006","1,000",995,992,993,988,987,986,988,989
4,"1,225","1,163","1,131","1,128","1,080","1,073","1,072","1,061","1,057","1,051","1,049","1,049","1,049","1,039","1,037","1,031","1,028","1,022","1,016","1,011","1,008","1,009","1,004","1,003","1,002","1,004"
5,"1,217","1,232","1,171","1,138","1,135","1,085","1,079","1,079","1,067","1,063","1,058","1,056","1,056","1,056","1,046","1,044","1,038","1,035","1,029","1,023","1,018","1,015","1,016","1,011","1,010","1,009"
6,"1,245","1,235","1,246","1,184","1,150","1,146","1,098","1,091","1,091","1,079","1,075","1,070","1,068","1,068","1,068","1,058","1,056","1,050","1,047","1,041","1,035","1,030","1,027","1,028","1,023","1,022"
7,"1,217","1,254","1,242","1,249","1,189","1,155","1,150","1,103","1,096","1,095","1,083","1,079","1,074","1,072","1,072","1,072","1,062","1,060","1,054","1,051","1,045","1,039","1,034","1,031","1,032","1,027"
8,"1,255","1,220","1,257","1,245","1,251","1,193","1,159","1,153","1,105","1,098","1,097","1,085","1,081","1,076","1,074","1,074","1,074","1,064","1,062","1,056","1,053","1,047","1,041","1,036","1,033","1,034"
9,"1,264","1,262","1,229","1,268","1,255","1,261","1,203","1,169","1,163","1,114","1,107","1,106","1,094","1,090","1,085","1,083","1,083","1,083","1,073","1,071","1,065","1,062","1,056","1,050","1,045","1,042"
10,"1,316","1,272","1,267","1,237","1,275","1,261","1,268","1,210","1,176","1,171","1,122","1,113","1,112","1,100","1,096","1,091","1,089","1,089","1,089","1,079","1,077","1,071","1,068","1,062","1,056","1,051"
11,"1,203","1,324","1,279","1,275","1,246","1,284","1,269","1,276","1,219","1,185","1,180","1,131","1,122","1,121","1,109","1,105","1,100","1,098","1,098","1,098","1,088","1,086","1,080","1,077","1,071","1,065"
12,"1,210","1,207","1,324","1,278","1,272","1,244","1,284","1,270","1,276","1,219","1,185","1,180","1,131","1,122","1,121","1,109","1,105","1,100","1,098","1,098","1,098","1,088","1,086","1,080","1,077","1,071"
13,"1,268","1,214","1,212","1,330","1,284","1,276","1,249","1,290","1,275","1,279","1,225","1,190","1,184","1,136","1,127","1,126","1,114","1,110","1,105","1,103","1,103","1,103","1,093","1,091","1,085","1,082"
14,"1,260","1,272","1,217","1,214","1,335","1,287","1,280","1,254","1,295","1,281","1,283","1,229","1,194","1,188","1,140","1,131","1,130","1,118","1,114","1,109","1,107","1,107","1,107","1,097","1,095","1,089"
15,"1,246","1,260","1,274","1,217","1,215","1,335","1,289","1,282","1,255","1,297","1,283","1,284","1,230","1,195","1,189","1,141","1,131","1,130","1,118","1,114","1,109","1,107","1,107","1,107","1,097","1,095"
16,"1,201","1,249","1,266","1,280","1,227","1,228","1,343","1,297","1,290","1,265","1,306","1,292","1,293","1,240","1,205","1,199","1,151","1,141","1,140","1,128","1,124","1,119","1,117","1,117","1,117","1,107"
17,"1,305","1,190","1,237","1,254","1,270","1,219","1,220","1,332","1,288","1,278","1,256","1,297","1,281","1,282","1,230","1,194","1,188","1,141","1,131","1,131","1,118","1,114","1,110","1,108","1,108","1,108"
18,"1,245","1,222","1,115","1,159","1,178","1,197","1,146","1,146","1,255","1,214","1,201","1,183","1,220","1,204","1,208","1,159","1,121","1,117","1,073","1,063","1,064","1,050","1,047","1,043","1,041","1,041"
19,"1,138","1,158","1,137","1,035","1,077","1,095","1,112","1,066","1,066","1,164","1,129","1,115","1,105","1,132","1,118","1,122","1,079","1,044","1,038",997,988,991,978,975,971,969
20,"1,149","1,134","1,144","1,119","1,022","1,061","1,080","1,097","1,051","1,052","1,149","1,117","1,099","1,093","1,118","1,104","1,109","1,067","1,031","1,024",984,975,978,965,962,958
21,"1,246","1,153","1,134","1,145","1,122","1,025","1,061","1,082","1,099","1,054","1,056","1,152","1,121","1,104","1,099","1,123","1,110","1,112","1,073","1,037","1,029",990,981,985,971,969
22,"1,202","1,259","1,175","1,156","1,162","1,138","1,045","1,079","1,101","1,119","1,075","1,078","1,175","1,147","1,126","1,122","1,145","1,132","1,135","1,096","1,060","1,053","1,013","1,003","1,007",993
23,"1,192","1,184","1,239","1,161","1,145","1,146","1,120","1,032","1,063","1,084","1,102","1,059","1,064","1,161","1,134","1,111","1,109","1,131","1,119","1,121","1,084","1,046","1,040","1,002",993,997
24,"1,302","1,182","1,177","1,229","1,154","1,141","1,138","1,114","1,030","1,060","1,078","1,098","1,056","1,061","1,155","1,132","1,108","1,107","1,128","1,115","1,117","1,082","1,044","1,038",999,990
25,"1,237","1,286","1,173","1,169","1,219","1,148","1,134","1,128","1,102","1,020","1,049","1,067","1,088","1,048","1,053","1,147","1,126","1,101","1,102","1,121","1,108","1,109","1,075","1,038","1,032",991
26,"1,195","1,226","1,267","1,156","1,153","1,197","1,132","1,117","1,110","1,084","1,007","1,034","1,051","1,074","1,035","1,040","1,133","1,114","1,089","1,090","1,109","1,097","1,095","1,064","1,027","1,021"
27,"1,211","1,191","1,214","1,241","1,139","1,141","1,182","1,119","1,102","1,093","1,068",992,"1,019","1,035","1,059","1,021","1,026","1,118","1,100","1,074","1,077","1,094","1,083","1,079","1,049","1,013"
