"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"518,500","522,842","526,835","530,443","533,796","537,073","540,281","543,447","546,524","549,572","552,585","555,520","558,360","561,132","563,803","566,377","568,853","571,226","573,454","575,576","577,611","579,521","581,384","583,186","584,900","586,566"
0,"4,968","4,881","4,973","4,990","4,991","4,999","5,004","5,004","5,001","4,989","4,977","4,962","4,952","4,938","4,935","4,933","4,938","4,940","4,959","4,974","5,000","5,021","5,045","5,056","5,064","5,063"
1,"4,941","4,888","4,798","4,888","4,893","4,895","4,903","4,908","4,908","4,905","4,893","4,880","4,864","4,854","4,841","4,837","4,835","4,839","4,841","4,860","4,876","4,902","4,923","4,947","4,957","4,965"
2,"5,055","4,867","4,800","4,708","4,788","4,800","4,799","4,805","4,810","4,811","4,808","4,795","4,782","4,766","4,756","4,742","4,737","4,735","4,739","4,741","4,760","4,777","4,805","4,824","4,848","4,859"
3,"5,105","5,000","4,810","4,750","4,654","4,728","4,736","4,739","4,745","4,752","4,753","4,750","4,737","4,722","4,706","4,698","4,685","4,680","4,677","4,681","4,683","4,702","4,719","4,747","4,767","4,790"
4,"5,240","5,062","4,958","4,769","4,706","4,601","4,679","4,688","4,692","4,696","4,704","4,705","4,703","4,689","4,673","4,657","4,649","4,638","4,632","4,627","4,631","4,633","4,652","4,670","4,698","4,718"
5,"5,291","5,211","5,035","4,934","4,746","4,685","4,577","4,656","4,666","4,670","4,674","4,682","4,683","4,681","4,666","4,649","4,633","4,625","4,614","4,608","4,603","4,606","4,609","4,628","4,647","4,674"
6,"5,201","5,275","5,188","5,017","4,910","4,724","4,662","4,553","4,631","4,642","4,646","4,651","4,658","4,659","4,657","4,641","4,624","4,607","4,600","4,588","4,584","4,578","4,581","4,585","4,604","4,623"
7,"5,584","5,193","5,263","5,177","5,010","4,900","4,715","4,654","4,543","4,620","4,631","4,635","4,641","4,647","4,648","4,646","4,629","4,612","4,594","4,587","4,575","4,570","4,564","4,567","4,570","4,589"
8,"5,023","5,572","5,184","5,249","5,164","5,002","4,889","4,703","4,645","4,531","4,609","4,618","4,623","4,629","4,636","4,637","4,635","4,618","4,600","4,582","4,574","4,562","4,557","4,550","4,553","4,555"
9,"5,235","5,040","5,581","5,199","5,256","5,174","5,016","4,903","4,720","4,660","4,545","4,623","4,631","4,637","4,643","4,650","4,651","4,649","4,630","4,612","4,594","4,586","4,575","4,569","4,562","4,564"
10,"5,116","5,224","5,040","5,568","5,192","5,245","5,165","5,008","4,896","4,716","4,656","4,540","4,618","4,626","4,632","4,638","4,645","4,646","4,644","4,625","4,607","4,587","4,580","4,569","4,563","4,557"
11,"4,708","5,121","5,228","5,039","5,560","5,191","5,244","5,164","5,008","4,897","4,719","4,660","4,544","4,622","4,628","4,635","4,640","4,648","4,648","4,646","4,626","4,607","4,587","4,580","4,569","4,564"
12,"4,511","4,725","5,130","5,246","5,047","5,568","5,200","5,253","5,173","5,019","4,910","4,731","4,672","4,555","4,632","4,638","4,645","4,650","4,658","4,659","4,655","4,635","4,616","4,597","4,590","4,578"
13,"4,295","4,518","4,729","5,123","5,232","5,036","5,553","5,191","5,244","5,164","5,012","4,905","4,727","4,668","4,550","4,626","4,633","4,640","4,644","4,652","4,653","4,649","4,629","4,609","4,590","4,583"
14,"4,147","4,345","4,570","4,777","5,164","5,270","5,081","5,596","5,237","5,285","5,206","5,056","4,950","4,772","4,712","4,594","4,670","4,678","4,685","4,688","4,696","4,697","4,693","4,673","4,652","4,633"
15,"4,081","4,176","4,375","4,596","4,796","5,185","5,291","5,099","5,611","5,256","5,303","5,223","5,073","4,968","4,790","4,730","4,612","4,687","4,696","4,703","4,704","4,713","4,714","4,711","4,691","4,670"
16,"4,213","4,110","4,208","4,403","4,619","4,824","5,206","5,314","5,123","5,630","5,281","5,326","5,246","5,098","4,993","4,813","4,754","4,637","4,710","4,718","4,725","4,727","4,736","4,737","4,734","4,713"
17,"4,152","4,305","4,197","4,293","4,477","4,707","4,911","5,284","5,389","5,199","5,706","5,357","5,401","5,322","5,175","5,070","4,891","4,830","4,713","4,785","4,793","4,800","4,802","4,811","4,812","4,809"
18,"5,022","4,772","4,875","4,786","4,888","5,081","5,289","5,498","5,870","5,976","5,791","6,281","5,953","5,972","5,881","5,742","5,640","5,446","5,369","5,236","5,303","5,308","5,312","5,311","5,318","5,319"
19,"7,028","6,418","6,140","6,176","6,081","6,194","6,414","6,614","6,828","7,215","7,343","7,158","7,617","7,340","7,317","7,203","7,062","6,962","6,742","6,631","6,467","6,515","6,521","6,519","6,512","6,517"
20,"8,082","7,933","7,321","7,021","7,022","6,923","7,057","7,285","7,486","7,706","8,103","8,242","8,055","8,516","8,250","8,207","8,080","7,938","7,833","7,596","7,470","7,295","7,339","7,347","7,344","7,335"
21,"8,655","8,651","8,489","7,898","7,582","7,555","7,464","7,619","7,844","8,044","8,263","8,665","8,807","8,607","9,079","8,816","8,766","8,629","8,493","8,386","8,135","8,009","7,823","7,869","7,876","7,874"
22,"9,094","9,046","9,019","8,826","8,242","7,936","7,887","7,808","7,972","8,199","8,388","8,607","9,002","9,140","8,936","9,411","9,153","9,095","8,951","8,824","8,718","8,462","8,330","8,141","8,188","8,193"
23,"9,185","9,361","9,335","9,261","9,065","8,493","8,212","8,136","8,072","8,250","8,473","8,648","8,860","9,251","9,377","9,169","9,646","9,390","9,325","9,176","9,062","8,955","8,699","8,566","8,374","8,431"
24,"9,644","9,482","9,656","9,631","9,532","9,325","8,757","8,485","8,383","8,330","8,517","8,741","8,908","9,114","9,507","9,624","9,415","9,898","9,640","9,570","9,415","9,309","9,204","8,943","8,808","8,606"
25,"10,034","9,833","9,672","9,836","9,813","9,686","9,501","8,933","8,667","8,548","8,502","8,697","8,918","9,080","9,281","9,679","9,793","9,580","10,062","9,808","9,734","9,578","9,475","9,368","9,110","8,968"
