"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries & Galloway,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"148,790","148,507","148,140","147,742","147,316","146,886","146,442","146,009","145,529","145,046","144,575","144,071","143,543","142,998","142,452","141,894","141,331","140,764","140,195","139,631","139,086","138,533","137,969","137,410","136,841","136,286"
0,"1,248","1,177","1,184","1,177","1,163","1,156","1,153","1,148","1,136","1,130","1,124","1,117","1,105","1,098","1,093","1,086","1,082","1,076","1,072","1,069","1,076","1,076","1,071","1,069","1,066","1,061"
1,"1,258","1,251","1,181","1,186","1,178","1,166","1,160","1,158","1,153","1,141","1,135","1,129","1,122","1,110","1,103","1,098","1,091","1,087","1,081","1,077","1,074","1,081","1,081","1,076","1,074","1,071"
2,"1,303","1,269","1,260","1,190","1,196","1,189","1,176","1,171","1,168","1,163","1,151","1,145","1,139","1,132","1,120","1,113","1,108","1,101","1,097","1,091","1,087","1,084","1,091","1,091","1,086","1,084"
3,"1,326","1,311","1,274","1,264","1,193","1,199","1,192","1,178","1,173","1,170","1,165","1,153","1,147","1,141","1,134","1,122","1,115","1,110","1,103","1,099","1,093","1,089","1,086","1,093","1,093","1,088"
4,"1,353","1,328","1,311","1,274","1,261","1,192","1,198","1,190","1,176","1,172","1,169","1,164","1,152","1,146","1,140","1,133","1,121","1,114","1,109","1,102","1,098","1,092","1,088","1,085","1,092","1,092"
5,"1,404","1,370","1,344","1,325","1,289","1,275","1,206","1,211","1,203","1,189","1,185","1,182","1,177","1,165","1,159","1,153","1,146","1,133","1,125","1,120","1,113","1,109","1,103","1,099","1,096","1,103"
6,"1,445","1,408","1,375","1,347","1,330","1,294","1,280","1,210","1,217","1,208","1,194","1,190","1,187","1,182","1,170","1,164","1,158","1,151","1,138","1,130","1,125","1,118","1,114","1,108","1,104","1,102"
7,"1,569","1,453","1,415","1,382","1,355","1,337","1,301","1,287","1,216","1,224","1,215","1,201","1,197","1,194","1,189","1,177","1,171","1,165","1,158","1,145","1,137","1,132","1,125","1,121","1,115","1,111"
8,"1,577","1,572","1,456","1,417","1,384","1,357","1,339","1,302","1,287","1,217","1,225","1,217","1,203","1,198","1,195","1,190","1,178","1,172","1,166","1,159","1,146","1,138","1,133","1,126","1,122","1,116"
9,"1,571","1,585","1,581","1,466","1,426","1,394","1,367","1,348","1,311","1,296","1,226","1,234","1,226","1,212","1,207","1,204","1,199","1,187","1,181","1,174","1,167","1,154","1,146","1,141","1,135","1,131"
10,"1,588","1,577","1,590","1,585","1,470","1,431","1,399","1,372","1,353","1,316","1,301","1,232","1,240","1,231","1,218","1,213","1,210","1,205","1,193","1,187","1,180","1,173","1,160","1,152","1,147","1,142"
11,"1,620","1,593","1,584","1,597","1,592","1,477","1,439","1,407","1,380","1,361","1,323","1,308","1,239","1,247","1,238","1,225","1,220","1,217","1,212","1,200","1,194","1,186","1,179","1,166","1,158","1,153"
12,"1,568","1,628","1,599","1,591","1,602","1,599","1,484","1,445","1,414","1,386","1,368","1,330","1,315","1,245","1,252","1,243","1,230","1,226","1,223","1,218","1,206","1,200","1,191","1,184","1,171","1,163"
13,"1,579","1,574","1,632","1,604","1,599","1,608","1,606","1,491","1,453","1,422","1,394","1,376","1,337","1,322","1,253","1,260","1,251","1,238","1,234","1,231","1,226","1,214","1,208","1,199","1,192","1,179"
14,"1,504","1,590","1,587","1,642","1,614","1,611","1,620","1,619","1,505","1,466","1,436","1,406","1,389","1,350","1,334","1,265","1,271","1,262","1,249","1,245","1,242","1,237","1,225","1,219","1,210","1,204"
15,"1,511","1,512","1,600","1,597","1,652","1,627","1,623","1,631","1,631","1,518","1,478","1,449","1,418","1,402","1,363","1,346","1,276","1,283","1,274","1,261","1,257","1,254","1,249","1,237","1,231","1,222"
16,"1,418","1,497","1,499","1,585","1,583","1,637","1,615","1,609","1,617","1,617","1,504","1,464","1,436","1,406","1,390","1,350","1,332","1,263","1,271","1,262","1,249","1,245","1,242","1,237","1,225","1,219"
17,"1,486","1,405","1,481","1,483","1,569","1,567","1,622","1,603","1,597","1,605","1,606","1,493","1,453","1,426","1,396","1,379","1,339","1,322","1,253","1,260","1,251","1,238","1,234","1,231","1,226","1,214"
18,"1,404","1,404","1,327","1,394","1,402","1,481","1,481","1,532","1,515","1,508","1,517","1,520","1,414","1,378","1,353","1,321","1,306","1,268","1,251","1,188","1,195","1,186","1,173","1,169","1,166","1,161"
19,"1,426","1,292","1,290","1,220","1,278","1,287","1,362","1,362","1,408","1,395","1,387","1,397","1,402","1,304","1,271","1,251","1,222","1,209","1,171","1,154","1,099","1,105","1,096","1,083","1,079","1,077"
20,"1,528","1,411","1,281","1,277","1,213","1,270","1,279","1,353","1,353","1,400","1,388","1,379","1,391","1,395","1,302","1,268","1,249","1,220","1,206","1,169","1,152","1,099","1,105","1,096","1,083","1,079"
21,"1,415","1,537","1,418","1,290","1,282","1,221","1,275","1,283","1,356","1,357","1,403","1,392","1,384","1,396","1,399","1,310","1,276","1,257","1,229","1,215","1,179","1,158","1,109","1,114","1,105","1,092"
22,"1,475","1,442","1,560","1,441","1,312","1,303","1,243","1,295","1,303","1,374","1,375","1,421","1,413","1,405","1,418","1,421","1,335","1,302","1,282","1,256","1,242","1,204","1,182","1,136","1,139","1,130"
23,"1,618","1,482","1,455","1,567","1,451","1,323","1,310","1,251","1,302","1,310","1,379","1,381","1,426","1,422","1,415","1,428","1,432","1,349","1,315","1,296","1,271","1,257","1,219","1,195","1,152","1,153"
24,"1,574","1,606","1,473","1,448","1,550","1,441","1,314","1,303","1,248","1,292","1,300","1,369","1,370","1,415","1,413","1,405","1,417","1,422","1,344","1,309","1,291","1,266","1,253","1,214","1,190","1,149"
25,"1,509","1,547","1,572","1,444","1,419","1,519","1,411","1,288","1,277","1,223","1,265","1,273","1,341","1,343","1,386","1,385","1,377","1,388","1,395","1,320","1,283","1,266","1,243","1,230","1,192","1,166"
