"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee City,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"148,750","148,703","148,577","148,442","148,372","148,309","148,244","148,227","148,248","148,305","148,350","148,427","148,498","148,547","148,578","148,599","148,605","148,565","148,489","148,383","148,294","148,207","148,124","148,052","147,990","147,897",
0,"1,460","1,449","1,467","1,468","1,459","1,451","1,450","1,443","1,445","1,439","1,431","1,423","1,421","1,415","1,411","1,406","1,408","1,406","1,413","1,414","1,419","1,424","1,427","1,429","1,430","1,427",
1,"1,531","1,429","1,414","1,434","1,434","1,426","1,419","1,419","1,412","1,414","1,408","1,400","1,392","1,390","1,384","1,380","1,375","1,377","1,375","1,382","1,383","1,388","1,393","1,396","1,398","1,399",
2,"1,488","1,519","1,414","1,396","1,418","1,419","1,412","1,402","1,401","1,394","1,396","1,390","1,382","1,374","1,372","1,366","1,362","1,357","1,359","1,357","1,364","1,365","1,370","1,375","1,378","1,380",
3,"1,562","1,469","1,498","1,395","1,377","1,399","1,400","1,393","1,383","1,382","1,375","1,377","1,371","1,363","1,355","1,353","1,347","1,343","1,338","1,340","1,338","1,345","1,346","1,351","1,356","1,359",
4,"1,469","1,551","1,460","1,483","1,383","1,363","1,387","1,387","1,380","1,370","1,369","1,362","1,364","1,358","1,350","1,342","1,340","1,334","1,330","1,325","1,327","1,325","1,332","1,333","1,338","1,343",
5,"1,639","1,455","1,529","1,443","1,464","1,369","1,346","1,369","1,370","1,362","1,352","1,351","1,344","1,346","1,340","1,332","1,324","1,322","1,316","1,312","1,307","1,309","1,307","1,314","1,315","1,320",
6,"1,703","1,632","1,451","1,521","1,439","1,459","1,364","1,340","1,364","1,365","1,357","1,347","1,346","1,339","1,341","1,335","1,327","1,319","1,317","1,311","1,307","1,302","1,304","1,302","1,309","1,310",
7,"1,615","1,708","1,636","1,460","1,527","1,448","1,467","1,370","1,346","1,370","1,371","1,363","1,353","1,352","1,345","1,347","1,340","1,332","1,325","1,322","1,317","1,313","1,308","1,310","1,308","1,315",
8,"1,473","1,610","1,706","1,633","1,459","1,523","1,445","1,464","1,368","1,344","1,368","1,369","1,361","1,351","1,350","1,343","1,345","1,338","1,330","1,323","1,320","1,315","1,311","1,306","1,308","1,306",
9,"1,575","1,475","1,608","1,702","1,628","1,457","1,519","1,441","1,460","1,365","1,341","1,365","1,366","1,358","1,348","1,347","1,340","1,342","1,335","1,327","1,320","1,317","1,312","1,308","1,303","1,305",
10,"1,506","1,571","1,471","1,602","1,695","1,621","1,453","1,515","1,437","1,455","1,360","1,337","1,361","1,362","1,354","1,344","1,343","1,336","1,338","1,331","1,323","1,316","1,313","1,308","1,304","1,299",
11,"1,459","1,512","1,572","1,471","1,602","1,694","1,622","1,453","1,515","1,437","1,455","1,360","1,337","1,361","1,362","1,354","1,344","1,343","1,336","1,338","1,331","1,323","1,316","1,313","1,308","1,304",
12,"1,377","1,461","1,514","1,571","1,471","1,602","1,693","1,620","1,452","1,515","1,436","1,455","1,359","1,335","1,359","1,360","1,352","1,342","1,341","1,334","1,336","1,329","1,321","1,314","1,311","1,306",
13,"1,458","1,382","1,464","1,517","1,571","1,474","1,605","1,694","1,622","1,456","1,517","1,439","1,458","1,362","1,338","1,362","1,363","1,355","1,345","1,344","1,337","1,339","1,332","1,324","1,317","1,314",
14,"1,357","1,454","1,378","1,459","1,512","1,564","1,468","1,597","1,683","1,612","1,449","1,510","1,432","1,451","1,355","1,331","1,355","1,356","1,348","1,338","1,337","1,330","1,332","1,325","1,317","1,310",
15,"1,344","1,368","1,464","1,385","1,466","1,521","1,571","1,476","1,605","1,689","1,619","1,457","1,518","1,440","1,459","1,363","1,339","1,363","1,364","1,356","1,346","1,345","1,338","1,340","1,333","1,325",
16,"1,340","1,360","1,384","1,477","1,400","1,478","1,538","1,585","1,490","1,618","1,701","1,631","1,471","1,531","1,453","1,472","1,376","1,352","1,375","1,377","1,368","1,358","1,357","1,350","1,352","1,345",
17,"1,387","1,390","1,408","1,426","1,517","1,441","1,522","1,586","1,630","1,538","1,663","1,747","1,677","1,518","1,577","1,500","1,517","1,423","1,399","1,420","1,422","1,413","1,403","1,402","1,395","1,397",
18,"1,831","1,740","1,736","1,756","1,784","1,883","1,814","1,900","1,980","2,024","1,933","2,069","2,136","2,064","1,909","1,961","1,881","1,884","1,786","1,753","1,775","1,776","1,768","1,758","1,756","1,749",
19,"2,499","2,217","2,143","2,141","2,161","2,201","2,296","2,237","2,328","2,430","2,480","2,382","2,531","2,580","2,507","2,355","2,402","2,316","2,306","2,203","2,157","2,178","2,179","2,171","2,161","2,158",
20,"2,881","2,746","2,475","2,396","2,385","2,405","2,447","2,547","2,492","2,584","2,696","2,747","2,648","2,798","2,843","2,769","2,617","2,664","2,577","2,560","2,453","2,404","2,423","2,425","2,418","2,408",
21,"2,973","2,991","2,872","2,607","2,529","2,509","2,526","2,570","2,673","2,621","2,710","2,824","2,880","2,780","2,931","2,973","2,898","2,751","2,792","2,707","2,686","2,579","2,526","2,545","2,547","2,539",
22,"2,717","2,879","2,872","2,766","2,536","2,456","2,435","2,450","2,494","2,592","2,541","2,627","2,736","2,792","2,699","2,843","2,879","2,807","2,671","2,711","2,629","2,606","2,505","2,455","2,473","2,475",
23,"2,506","2,601","2,732","2,708","2,620","2,407","2,341","2,312","2,330","2,374","2,463","2,419","2,497","2,604","2,657","2,569","2,708","2,737","2,667","2,543","2,579","2,505","2,475","2,381","2,333","2,351",
24,"2,501","2,442","2,512","2,625","2,599","2,516","2,318","2,256","2,222","2,241","2,286","2,370","2,328","2,402","2,506","2,554","2,474","2,607","2,625","2,561","2,447","2,482","2,413","2,378","2,290","2,244",
25,"2,717","2,465","2,409","2,470","2,571","2,542","2,467","2,276","2,215","2,176","2,197","2,244","2,323","2,282","2,353","2,455","2,498","2,426","2,551","2,566","2,504","2,400","2,432","2,365","2,330","2,245",
