"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ayrshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"121,840","121,723","121,576","121,382","121,176","120,981","120,754","120,525","120,283","119,993","119,716","119,416","119,091","118,737","118,400","118,022","117,631","117,221","116,810","116,376","115,952","115,538","115,115","114,686","114,248","113,792"
0,"1,197","1,170","1,173","1,165","1,158","1,153","1,149","1,141","1,132","1,123","1,116","1,111","1,101","1,095","1,085","1,080","1,078","1,070","1,067","1,066","1,066","1,065","1,065","1,066","1,065","1,061"
1,"1,222","1,202","1,172","1,174","1,165","1,161","1,154","1,150","1,142","1,133","1,124","1,117","1,112","1,102","1,096","1,086","1,081","1,079","1,071","1,068","1,067","1,067","1,066","1,066","1,067","1,066"
2,"1,319","1,223","1,204","1,172","1,176","1,167","1,163","1,155","1,151","1,143","1,134","1,125","1,118","1,113","1,103","1,097","1,087","1,082","1,080","1,072","1,069","1,068","1,068","1,067","1,067","1,068"
3,"1,349","1,332","1,242","1,220","1,186","1,189","1,181","1,177","1,169","1,165","1,157","1,148","1,139","1,132","1,127","1,117","1,111","1,101","1,096","1,094","1,086","1,083","1,082","1,082","1,081","1,081"
4,"1,262","1,357","1,338","1,248","1,226","1,191","1,193","1,186","1,182","1,173","1,169","1,161","1,152","1,143","1,136","1,131","1,121","1,115","1,105","1,100","1,098","1,090","1,087","1,086","1,086","1,085"
5,"1,348","1,266","1,362","1,343","1,254","1,230","1,194","1,197","1,190","1,186","1,177","1,173","1,165","1,156","1,147","1,140","1,135","1,125","1,119","1,109","1,104","1,102","1,094","1,091","1,090","1,090"
6,"1,461","1,343","1,261","1,356","1,337","1,250","1,225","1,189","1,192","1,185","1,181","1,172","1,168","1,160","1,151","1,142","1,135","1,130","1,120","1,114","1,104","1,099","1,097","1,089","1,086","1,085"
7,"1,436","1,470","1,354","1,273","1,368","1,349","1,262","1,236","1,200","1,203","1,196","1,192","1,183","1,179","1,171","1,162","1,153","1,146","1,141","1,131","1,125","1,115","1,110","1,108","1,100","1,097"
8,"1,344","1,438","1,473","1,359","1,277","1,372","1,354","1,266","1,240","1,204","1,207","1,200","1,196","1,187","1,183","1,175","1,166","1,157","1,150","1,145","1,135","1,129","1,119","1,114","1,112","1,104"
9,"1,377","1,340","1,432","1,465","1,354","1,274","1,367","1,349","1,262","1,236","1,200","1,203","1,196","1,192","1,183","1,179","1,171","1,162","1,153","1,146","1,141","1,131","1,125","1,115","1,110","1,108"
10,"1,362","1,383","1,349","1,438","1,472","1,360","1,282","1,374","1,356","1,268","1,242","1,207","1,208","1,202","1,197","1,188","1,184","1,176","1,167","1,158","1,151","1,146","1,136","1,130","1,120","1,115"
11,"1,328","1,363","1,384","1,349","1,439","1,474","1,362","1,284","1,377","1,358","1,270","1,244","1,208","1,209","1,203","1,198","1,189","1,185","1,177","1,168","1,159","1,152","1,147","1,137","1,131","1,121"
12,"1,274","1,326","1,361","1,384","1,346","1,438","1,470","1,359","1,281","1,374","1,355","1,267","1,241","1,205","1,207","1,201","1,196","1,187","1,183","1,175","1,166","1,157","1,150","1,145","1,135","1,129"
13,"1,283","1,273","1,329","1,361","1,383","1,348","1,437","1,469","1,358","1,282","1,374","1,355","1,268","1,241","1,205","1,207","1,201","1,196","1,187","1,183","1,175","1,166","1,157","1,150","1,145","1,135"
14,"1,331","1,282","1,274","1,328","1,361","1,381","1,346","1,436","1,467","1,357","1,281","1,373","1,354","1,267","1,240","1,203","1,206","1,200","1,195","1,186","1,182","1,174","1,165","1,156","1,149","1,144"
15,"1,226","1,336","1,283","1,278","1,333","1,362","1,385","1,350","1,439","1,471","1,360","1,285","1,377","1,358","1,272","1,244","1,207","1,210","1,204","1,199","1,190","1,186","1,178","1,169","1,160","1,153"
16,"1,280","1,224","1,335","1,280","1,277","1,332","1,361","1,384","1,350","1,438","1,470","1,360","1,284","1,375","1,357","1,271","1,243","1,206","1,210","1,204","1,199","1,190","1,186","1,178","1,169","1,160"
17,"1,272","1,273","1,218","1,325","1,273","1,272","1,323","1,354","1,377","1,343","1,429","1,462","1,353","1,277","1,367","1,349","1,263","1,234","1,198","1,202","1,196","1,192","1,182","1,179","1,171","1,162"
18,"1,292","1,242","1,236","1,191","1,290","1,247","1,239","1,291","1,323","1,345","1,312","1,395","1,428","1,322","1,248","1,337","1,318","1,234","1,203","1,168","1,172","1,165","1,161","1,151","1,149","1,140"
19,"1,260","1,226","1,180","1,170","1,130","1,227","1,184","1,177","1,230","1,260","1,281","1,249","1,333","1,359","1,259","1,187","1,274","1,256","1,173","1,142","1,107","1,113","1,105","1,101","1,091","1,089"
20,"1,357","1,259","1,223","1,175","1,164","1,126","1,222","1,181","1,173","1,227","1,259","1,280","1,248","1,332","1,358","1,258","1,185","1,273","1,255","1,170","1,139","1,103","1,109","1,101","1,097","1,087"
21,"1,332","1,373","1,280","1,235","1,189","1,174","1,139","1,234","1,194","1,186","1,239","1,272","1,292","1,260","1,344","1,369","1,270","1,197","1,285","1,268","1,182","1,151","1,116","1,122","1,113","1,109"
22,"1,354","1,328","1,366","1,275","1,233","1,183","1,168","1,133","1,226","1,189","1,180","1,232","1,264","1,283","1,253","1,335","1,357","1,262","1,190","1,277","1,260","1,173","1,143","1,108","1,114","1,104"
23,"1,444","1,339","1,315","1,349","1,260","1,218","1,172","1,158","1,122","1,212","1,177","1,168","1,219","1,251","1,268","1,240","1,320","1,340","1,248","1,177","1,263","1,248","1,160","1,129","1,095","1,100"
24,"1,467","1,442","1,341","1,316","1,350","1,263","1,219","1,171","1,158","1,124","1,212","1,178","1,168","1,219","1,251","1,267","1,240","1,318","1,339","1,248","1,177","1,263","1,248","1,160","1,129","1,095"
25,"1,405","1,451","1,421","1,321","1,299","1,331","1,246","1,203","1,156","1,143","1,109","1,195","1,161","1,152","1,203","1,234","1,248","1,224","1,297","1,317","1,231","1,160","1,245","1,230","1,143","1,113"
