"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"108,330","108,821","109,202","109,617","110,017","110,392","110,794","111,205","111,631","112,008","112,399","112,763","113,126","113,477","113,828","114,125","114,406","114,671","114,925","115,171","115,407","115,635","115,848","116,073","116,315","116,536"
0,990,938,954,962,965,968,977,981,981,982,985,980,982,981,981,980,979,981,980,986,991,998,"1,007","1,015","1,020","1,024"
1,"1,111","1,045",993,"1,006","1,015","1,018","1,020","1,029","1,033","1,032","1,033","1,036","1,031","1,033","1,032","1,032","1,031","1,030","1,032","1,031","1,037","1,042","1,049","1,058","1,066","1,071"
2,"1,089","1,162","1,097","1,041","1,057","1,066","1,068","1,071","1,080","1,084","1,083","1,084","1,087","1,082","1,084","1,083","1,083","1,082","1,081","1,083","1,082","1,088","1,093","1,100","1,109","1,117"
3,"1,175","1,152","1,216","1,149","1,095","1,111","1,120","1,121","1,124","1,133","1,137","1,136","1,137","1,140","1,135","1,137","1,136","1,136","1,135","1,134","1,136","1,135","1,141","1,146","1,153","1,162"
4,"1,254","1,222","1,197","1,256","1,188","1,132","1,151","1,160","1,161","1,164","1,173","1,177","1,176","1,177","1,180","1,175","1,177","1,176","1,176","1,175","1,174","1,176","1,175","1,181","1,186","1,193"
5,"1,215","1,296","1,265","1,238","1,296","1,228","1,170","1,189","1,198","1,199","1,202","1,211","1,215","1,214","1,215","1,218","1,213","1,215","1,214","1,214","1,213","1,212","1,214","1,213","1,219","1,224"
6,"1,179","1,250","1,330","1,295","1,267","1,324","1,257","1,198","1,218","1,227","1,228","1,231","1,240","1,244","1,243","1,244","1,247","1,242","1,244","1,243","1,243","1,242","1,241","1,243","1,242","1,248"
7,"1,351","1,215","1,285","1,363","1,329","1,298","1,355","1,287","1,227","1,247","1,257","1,258","1,260","1,269","1,273","1,272","1,273","1,276","1,271","1,273","1,272","1,272","1,271","1,270","1,272","1,271"
8,"1,255","1,369","1,235","1,304","1,381","1,349","1,313","1,371","1,302","1,242","1,262","1,272","1,273","1,275","1,284","1,288","1,287","1,288","1,291","1,286","1,288","1,287","1,287","1,286","1,285","1,287"
9,"1,273","1,280","1,396","1,263","1,331","1,409","1,374","1,337","1,395","1,325","1,265","1,285","1,295","1,296","1,298","1,307","1,311","1,310","1,311","1,314","1,309","1,311","1,310","1,310","1,309","1,308"
10,"1,250","1,293","1,300","1,416","1,286","1,351","1,429","1,394","1,356","1,414","1,343","1,282","1,302","1,312","1,313","1,315","1,324","1,328","1,327","1,328","1,331","1,326","1,328","1,327","1,327","1,326"
11,"1,191","1,267","1,311","1,316","1,432","1,307","1,370","1,449","1,413","1,375","1,433","1,361","1,299","1,318","1,329","1,330","1,331","1,340","1,344","1,343","1,345","1,348","1,343","1,345","1,344","1,344"
12,"1,241","1,205","1,282","1,326","1,328","1,445","1,321","1,384","1,464","1,428","1,389","1,447","1,373","1,311","1,331","1,342","1,343","1,343","1,353","1,356","1,355","1,357","1,360","1,355","1,357","1,356"
13,"1,259","1,246","1,211","1,286","1,328","1,332","1,449","1,326","1,388","1,468","1,432","1,393","1,450","1,375","1,313","1,333","1,344","1,345","1,345","1,355","1,358","1,357","1,359","1,362","1,357","1,359"
14,"1,232","1,263","1,250","1,217","1,294","1,335","1,337","1,455","1,333","1,395","1,473","1,438","1,399","1,456","1,380","1,318","1,338","1,349","1,350","1,350","1,360","1,363","1,362","1,364","1,367","1,362"
15,"1,159","1,228","1,260","1,247","1,216","1,292","1,332","1,335","1,455","1,332","1,393","1,471","1,436","1,397","1,454","1,377","1,315","1,335","1,346","1,347","1,347","1,357","1,360","1,359","1,361","1,364"
16,"1,178","1,160","1,227","1,260","1,248","1,216","1,291","1,331","1,334","1,453","1,331","1,391","1,469","1,434","1,395","1,452","1,375","1,313","1,333","1,344","1,345","1,345","1,355","1,358","1,357","1,359"
17,"1,225","1,173","1,157","1,222","1,254","1,239","1,211","1,287","1,324","1,328","1,445","1,325","1,384","1,461","1,426","1,387","1,444","1,367","1,305","1,325","1,336","1,337","1,337","1,347","1,350","1,349"
18,"1,185","1,146","1,089","1,078","1,142","1,172","1,157","1,129","1,204","1,239","1,243","1,349","1,240","1,292","1,363","1,332","1,293","1,347","1,275","1,214","1,233","1,244","1,245","1,245","1,255","1,258"
19,"1,146","1,096","1,053",999,993,"1,054","1,078","1,064","1,040","1,109","1,144","1,144","1,242","1,145","1,189","1,251","1,227","1,189","1,237","1,171","1,114","1,135","1,142","1,144","1,144","1,154"
20,"1,144","1,125","1,074","1,032",979,976,"1,035","1,058","1,044","1,022","1,091","1,125","1,123","1,221","1,125","1,168","1,228","1,205","1,168","1,214","1,150","1,094","1,114","1,121","1,123","1,123"
21,"1,090","1,162","1,141","1,088","1,048",995,992,"1,052","1,075","1,061","1,040","1,109","1,142","1,140","1,237","1,142","1,184","1,244","1,221","1,184","1,229","1,166","1,110","1,131","1,138","1,140"
22,"1,231","1,096","1,165","1,144","1,086","1,052",995,992,"1,052","1,074","1,061","1,040","1,108","1,143","1,139","1,233","1,141","1,181","1,240","1,218","1,182","1,227","1,164","1,110","1,130","1,137"
23,"1,158","1,221","1,095","1,162","1,139","1,081","1,044",988,986,"1,044","1,067","1,053","1,034","1,101","1,136","1,132","1,225","1,135","1,172","1,230","1,209","1,174","1,217","1,155","1,102","1,121"
24,"1,223","1,130","1,191","1,075","1,137","1,113","1,058","1,023",969,966,"1,021","1,045","1,032","1,015","1,078","1,111","1,108","1,200","1,111","1,146","1,202","1,182","1,148","1,188","1,129","1,078"
25,"1,180","1,180","1,092","1,151","1,041","1,093","1,073","1,019",988,933,929,983,"1,007",995,980,"1,040","1,073","1,068","1,159","1,073","1,105","1,158","1,140","1,106","1,144","1,086"
26,"1,217","1,133","1,127","1,047","1,102",999,"1,048","1,028",975,947,893,888,941,963,953,938,997,"1,029","1,023","1,111","1,028","1,057","1,107","1,091","1,058","1,093"
