"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lothian,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"105,790","106,639","107,434","108,218","108,972","109,742","110,482","111,241","111,975","112,716","113,403","114,103","114,769","115,394","116,006","116,613","117,154","117,695","118,241","118,781","119,299","119,812","120,312","120,794","121,263","121,743"
0,"1,017",978,"1,000","1,005","1,008","1,015","1,028","1,034","1,036","1,044","1,040","1,045","1,040","1,041","1,039","1,034","1,034","1,033","1,038","1,038","1,044","1,051","1,057","1,058","1,065","1,068"
1,"1,075","1,053","1,013","1,035","1,041","1,047","1,051","1,063","1,069","1,071","1,079","1,075","1,080","1,075","1,076","1,074","1,069","1,069","1,068","1,073","1,073","1,079","1,086","1,092","1,093","1,100"
2,"1,199","1,106","1,090","1,048","1,073","1,081","1,083","1,088","1,100","1,106","1,108","1,116","1,112","1,117","1,112","1,113","1,111","1,106","1,106","1,105","1,110","1,110","1,117","1,124","1,130","1,130"
3,"1,151","1,223","1,130","1,110","1,072","1,097","1,105","1,107","1,112","1,124","1,130","1,132","1,140","1,136","1,141","1,136","1,137","1,135","1,130","1,130","1,129","1,134","1,134","1,141","1,148","1,155"
4,"1,209","1,177","1,245","1,151","1,131","1,098","1,117","1,125","1,127","1,132","1,144","1,150","1,152","1,160","1,156","1,161","1,156","1,157","1,155","1,150","1,150","1,149","1,154","1,154","1,161","1,168"
5,"1,187","1,231","1,202","1,269","1,176","1,155","1,121","1,142","1,149","1,151","1,156","1,168","1,174","1,176","1,184","1,180","1,185","1,180","1,181","1,179","1,174","1,174","1,173","1,178","1,178","1,185"
6,"1,314","1,198","1,243","1,211","1,282","1,186","1,166","1,132","1,152","1,159","1,161","1,166","1,178","1,184","1,186","1,194","1,190","1,195","1,190","1,191","1,189","1,184","1,184","1,183","1,188","1,188"
7,"1,364","1,335","1,218","1,261","1,230","1,301","1,205","1,184","1,150","1,170","1,177","1,179","1,184","1,196","1,202","1,204","1,212","1,208","1,213","1,208","1,209","1,207","1,202","1,202","1,201","1,206"
8,"1,240","1,382","1,348","1,232","1,276","1,246","1,314","1,219","1,199","1,165","1,185","1,192","1,194","1,199","1,211","1,217","1,219","1,227","1,223","1,228","1,223","1,224","1,222","1,217","1,217","1,216"
9,"1,303","1,258","1,402","1,364","1,250","1,294","1,262","1,330","1,235","1,215","1,181","1,201","1,208","1,210","1,215","1,227","1,233","1,235","1,243","1,239","1,244","1,239","1,240","1,238","1,233","1,233"
10,"1,359","1,315","1,272","1,414","1,375","1,263","1,307","1,273","1,341","1,246","1,226","1,191","1,211","1,218","1,220","1,225","1,237","1,243","1,245","1,253","1,249","1,254","1,249","1,250","1,248","1,243"
11,"1,279","1,358","1,317","1,278","1,420","1,379","1,267","1,311","1,277","1,346","1,250","1,229","1,194","1,214","1,221","1,223","1,228","1,240","1,246","1,248","1,256","1,252","1,257","1,252","1,253","1,251"
12,"1,278","1,284","1,363","1,322","1,282","1,426","1,384","1,273","1,317","1,282","1,351","1,255","1,236","1,200","1,220","1,227","1,229","1,234","1,246","1,252","1,254","1,262","1,258","1,263","1,258","1,259"
13,"1,180","1,272","1,278","1,357","1,319","1,278","1,422","1,379","1,268","1,312","1,277","1,346","1,250","1,231","1,195","1,216","1,223","1,225","1,230","1,242","1,248","1,250","1,258","1,254","1,259","1,254"
14,"1,177","1,165","1,250","1,258","1,336","1,298","1,258","1,400","1,356","1,248","1,292","1,257","1,325","1,230","1,212","1,177","1,198","1,205","1,207","1,212","1,224","1,230","1,232","1,240","1,236","1,241"
15,"1,018","1,180","1,167","1,251","1,262","1,336","1,298","1,262","1,404","1,360","1,252","1,296","1,261","1,329","1,234","1,216","1,181","1,202","1,209","1,211","1,216","1,228","1,234","1,236","1,244","1,240"
16,"1,098","1,032","1,192","1,178","1,260","1,270","1,346","1,307","1,270","1,413","1,368","1,260","1,304","1,269","1,337","1,242","1,224","1,189","1,210","1,217","1,219","1,224","1,236","1,242","1,244","1,252"
17,"1,142","1,095","1,031","1,190","1,176","1,257","1,267","1,341","1,303","1,267","1,408","1,363","1,257","1,300","1,266","1,332","1,238","1,220","1,185","1,206","1,212","1,214","1,219","1,231","1,237","1,239"
18,"1,129","1,095","1,049",990,"1,140","1,126","1,201","1,209","1,280","1,245","1,209","1,344","1,297","1,198","1,242","1,207","1,270","1,181","1,165","1,130","1,152","1,158","1,159","1,164","1,176","1,182"
19,"1,031","1,069","1,032",988,936,"1,066","1,064","1,125","1,131","1,199","1,167","1,134","1,255","1,212","1,123","1,163","1,126","1,186","1,106","1,091","1,058","1,076","1,083","1,084","1,088","1,099"
20,"1,067","1,033","1,067","1,024",980,933,"1,060","1,059","1,118","1,122","1,191","1,160","1,128","1,246","1,203","1,116","1,155","1,117","1,177","1,098","1,084","1,048","1,067","1,073","1,075","1,079"
21,"1,104","1,074","1,036","1,062","1,020",981,934,"1,055","1,056","1,112","1,118","1,187","1,155","1,126","1,240","1,198","1,114","1,152","1,112","1,173","1,095","1,082","1,046","1,064","1,070","1,071"
22,"1,150","1,141","1,111","1,070","1,089","1,045","1,011",965,"1,081","1,084","1,139","1,146","1,215","1,185","1,156","1,270","1,228","1,145","1,182","1,142","1,201","1,124","1,112","1,076","1,093","1,099"
23,"1,162","1,171","1,162","1,131","1,090","1,102","1,058","1,028",981,"1,092","1,098","1,151","1,159","1,228","1,198","1,171","1,283","1,242","1,162","1,197","1,157","1,214","1,140","1,128","1,088","1,107"
24,"1,209","1,139","1,155","1,143","1,112","1,076","1,081","1,038","1,011",966,"1,072","1,078","1,127","1,136","1,203","1,177","1,148","1,257","1,217","1,140","1,173","1,135","1,188","1,117","1,104","1,066"
25,"1,257","1,202","1,137","1,149","1,140","1,109","1,073","1,074","1,031","1,004",962,"1,063","1,072","1,118","1,130","1,193","1,169","1,141","1,248","1,209","1,133","1,165","1,128","1,179","1,109","1,096"
26,"1,345","1,244","1,190","1,132","1,141","1,135","1,103","1,067","1,066","1,023",995,956,"1,052","1,062","1,107","1,119","1,181","1,156","1,131","1,235","1,196","1,123","1,153","1,117","1,166","1,098"
