"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
East Renfrewshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"95,170","95,836","96,446","97,062","97,663","98,246","98,849","99,449","100,038","100,643","101,230","101,789","102,340","102,860","103,404","103,892","104,353","104,784","105,218","105,654","106,049","106,447","106,833","107,233","107,604","107,971"
0,874,830,847,854,854,858,864,874,882,886,888,893,898,903,910,910,915,916,925,934,940,943,949,965,969,972
1,980,942,893,910,914,918,920,925,935,944,948,950,955,960,964,971,971,977,977,986,995,"1,002","1,005","1,011","1,026","1,030"
2,"1,066","1,051","1,008",959,975,980,985,987,992,"1,002","1,011","1,015","1,017","1,023","1,028","1,032","1,039","1,039","1,045","1,045","1,054","1,063","1,070","1,073","1,079","1,094"
3,"1,087","1,139","1,117","1,072","1,021","1,036","1,042","1,046","1,047","1,051","1,061","1,070","1,074","1,076","1,082","1,087","1,091","1,098","1,098","1,104","1,104","1,113","1,122","1,129","1,132","1,138"
4,"1,178","1,154","1,202","1,184","1,137","1,081","1,098","1,104","1,108","1,109","1,113","1,123","1,132","1,136","1,138","1,144","1,149","1,153","1,160","1,160","1,166","1,166","1,175","1,184","1,191","1,194"
5,"1,263","1,224","1,201","1,248","1,228","1,176","1,123","1,140","1,146","1,150","1,151","1,155","1,165","1,174","1,178","1,180","1,186","1,191","1,195","1,202","1,202","1,208","1,208","1,217","1,226","1,233"
6,"1,301","1,297","1,255","1,233","1,279","1,258","1,205","1,151","1,169","1,175","1,179","1,180","1,184","1,194","1,203","1,207","1,209","1,215","1,220","1,224","1,231","1,231","1,237","1,237","1,246","1,255"
7,"1,378","1,337","1,331","1,287","1,264","1,310","1,291","1,234","1,180","1,198","1,204","1,208","1,209","1,213","1,223","1,232","1,236","1,238","1,244","1,249","1,253","1,260","1,260","1,266","1,266","1,275"
8,"1,310","1,413","1,371","1,363","1,323","1,300","1,343","1,323","1,265","1,211","1,229","1,235","1,239","1,240","1,244","1,254","1,263","1,267","1,269","1,275","1,280","1,284","1,291","1,291","1,297","1,297"
9,"1,250","1,344","1,449","1,407","1,399","1,357","1,335","1,378","1,357","1,298","1,242","1,262","1,268","1,272","1,273","1,277","1,287","1,296","1,300","1,302","1,308","1,313","1,317","1,324","1,324","1,330"
10,"1,320","1,285","1,381","1,490","1,446","1,437","1,394","1,372","1,415","1,393","1,333","1,277","1,297","1,303","1,307","1,308","1,312","1,322","1,331","1,335","1,337","1,343","1,348","1,352","1,359","1,359"
11,"1,335","1,360","1,324","1,419","1,538","1,492","1,479","1,436","1,414","1,456","1,433","1,371","1,315","1,335","1,341","1,345","1,346","1,350","1,360","1,369","1,373","1,375","1,381","1,386","1,390","1,397"
12,"1,274","1,358","1,386","1,350","1,446","1,564","1,521","1,507","1,463","1,441","1,483","1,459","1,397","1,339","1,361","1,367","1,371","1,372","1,376","1,386","1,395","1,398","1,400","1,407","1,412","1,416"
13,"1,301","1,281","1,362","1,394","1,361","1,453","1,572","1,529","1,515","1,472","1,450","1,490","1,467","1,405","1,348","1,370","1,376","1,380","1,381","1,385","1,395","1,404","1,407","1,409","1,416","1,421"
14,"1,246","1,304","1,282","1,366","1,399","1,364","1,454","1,574","1,532","1,518","1,475","1,453","1,493","1,469","1,406","1,349","1,371","1,377","1,381","1,382","1,386","1,396","1,405","1,408","1,410","1,417"
15,"1,159","1,244","1,300","1,279","1,362","1,394","1,358","1,449","1,571","1,530","1,513","1,470","1,449","1,488","1,465","1,402","1,345","1,367","1,373","1,377","1,378","1,382","1,392","1,401","1,404","1,406"
16,"1,158","1,158","1,241","1,294","1,276","1,356","1,390","1,353","1,443","1,565","1,524","1,506","1,464","1,443","1,481","1,459","1,396","1,339","1,361","1,367","1,371","1,372","1,376","1,386","1,395","1,398"
17,"1,175","1,145","1,144","1,230","1,281","1,262","1,341","1,375","1,339","1,427","1,546","1,506","1,489","1,447","1,426","1,463","1,442","1,380","1,323","1,345","1,351","1,355","1,356","1,360","1,370","1,379"
18,"1,131","1,106","1,078","1,074","1,153","1,203","1,186","1,259","1,293","1,258","1,341","1,454","1,414","1,399","1,360","1,341","1,371","1,356","1,295","1,240","1,262","1,268","1,272","1,273","1,277","1,287"
19,"1,048","1,036","1,013",986,979,"1,055","1,097","1,086","1,151","1,183","1,149","1,225","1,330","1,290","1,277","1,243","1,227","1,248","1,239","1,181","1,132","1,154","1,158","1,162","1,163","1,167"
20,"1,060","1,034","1,019",998,972,965,"1,036","1,080","1,069","1,134","1,166","1,132","1,206","1,311","1,272","1,257","1,224","1,207","1,226","1,219","1,161","1,114","1,135","1,139","1,143","1,144"
21,"1,089","1,051","1,020","1,005",985,961,953,"1,022","1,066","1,055","1,118","1,151","1,117","1,190","1,292","1,254","1,240","1,208","1,191","1,209","1,203","1,146","1,099","1,119","1,124","1,128"
22,"1,045","1,074","1,036","1,007",988,972,944,939,"1,005","1,048","1,037","1,098","1,132","1,097","1,170","1,267","1,230","1,218","1,187","1,171","1,185","1,181","1,125","1,079","1,098","1,103"
23,991,"1,007","1,038","1,001",972,952,936,908,904,968,"1,010",999,"1,059","1,093","1,059","1,130","1,224","1,186","1,176","1,147","1,132","1,143","1,141","1,086","1,041","1,060"
24,"1,011",968,985,"1,013",980,954,930,916,889,886,948,987,977,"1,036","1,069","1,035","1,103","1,194","1,156","1,148","1,120","1,106","1,115","1,114","1,061","1,018"
25,"1,011",975,936,949,977,949,923,897,884,856,852,913,950,940,997,"1,029",996,"1,059","1,146","1,110","1,101","1,077","1,063","1,070","1,070","1,018"
26,929,968,937,895,909,936,908,883,857,845,819,813,872,908,898,952,984,952,"1,011","1,093","1,059","1,052","1,027","1,015","1,021","1,020"
27,863,911,940,907,866,880,906,879,853,827,818,790,784,840,877,867,915,947,919,971,"1,052","1,017","1,011",988,976,980
28,883,859,911,933,894,857,870,895,866,842,816,808,777,771,827,862,853,896,929,903,951,"1,030",995,990,967,956
29,918,867,847,896,909,875,836,847,872,843,820,792,785,755,750,802,836,828,870,900,877,920,995,962,955,935
