"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"160,340","160,971","161,583","162,180","162,707","163,198","163,675","164,149","164,623","165,058","165,462","165,821","166,216","166,597","166,958","167,292","167,622","167,925","168,213","168,480","168,756","169,021","169,264","169,487","169,735","169,962"
0,"1,532","1,492","1,507","1,502","1,502","1,498","1,501","1,503","1,512","1,513","1,514","1,513","1,519","1,525","1,528","1,530","1,530","1,534","1,531","1,539","1,550","1,558","1,558","1,562","1,559","1,559"
1,"1,565","1,551","1,509","1,520","1,516","1,517","1,511","1,513","1,515","1,524","1,525","1,526","1,525","1,531","1,537","1,540","1,542","1,542","1,546","1,543","1,551","1,562","1,570","1,570","1,574","1,571"
2,"1,644","1,587","1,568","1,524","1,533","1,530","1,532","1,526","1,528","1,530","1,539","1,540","1,541","1,540","1,546","1,552","1,555","1,557","1,557","1,561","1,558","1,566","1,577","1,585","1,585","1,589"
3,"1,692","1,662","1,607","1,587","1,542","1,550","1,547","1,550","1,544","1,546","1,548","1,557","1,558","1,559","1,558","1,564","1,570","1,573","1,575","1,575","1,579","1,576","1,584","1,595","1,603","1,603"
4,"1,742","1,694","1,671","1,612","1,593","1,547","1,557","1,554","1,557","1,551","1,553","1,555","1,564","1,565","1,566","1,565","1,571","1,577","1,580","1,582","1,582","1,586","1,583","1,591","1,602","1,610"
5,"1,718","1,748","1,699","1,678","1,616","1,597","1,553","1,563","1,560","1,563","1,557","1,559","1,561","1,570","1,571","1,572","1,571","1,577","1,583","1,586","1,588","1,588","1,592","1,589","1,597","1,608"
6,"1,893","1,726","1,759","1,709","1,690","1,626","1,605","1,561","1,571","1,568","1,571","1,565","1,567","1,569","1,578","1,579","1,580","1,579","1,585","1,591","1,594","1,596","1,596","1,600","1,597","1,605"
7,"1,875","1,893","1,731","1,762","1,711","1,691","1,628","1,607","1,563","1,573","1,570","1,573","1,567","1,569","1,571","1,580","1,581","1,582","1,581","1,587","1,593","1,596","1,598","1,598","1,602","1,599"
8,"1,900","1,881","1,898","1,738","1,769","1,720","1,698","1,637","1,615","1,570","1,580","1,578","1,581","1,575","1,577","1,579","1,588","1,589","1,590","1,589","1,595","1,601","1,604","1,606","1,606","1,610"
9,"1,959","1,911","1,894","1,908","1,748","1,778","1,731","1,710","1,646","1,625","1,580","1,590","1,588","1,591","1,585","1,587","1,589","1,598","1,599","1,600","1,599","1,605","1,611","1,614","1,616","1,616"
10,"1,881","1,961","1,914","1,900","1,910","1,753","1,782","1,734","1,713","1,649","1,628","1,583","1,592","1,591","1,594","1,588","1,589","1,591","1,600","1,601","1,602","1,601","1,607","1,613","1,616","1,618"
11,"1,885","1,891","1,969","1,923","1,912","1,922","1,763","1,792","1,744","1,723","1,659","1,636","1,591","1,600","1,599","1,602","1,596","1,597","1,599","1,608","1,609","1,610","1,609","1,615","1,621","1,624"
12,"1,776","1,883","1,892","1,971","1,923","1,913","1,923","1,765","1,794","1,746","1,725","1,661","1,638","1,593","1,602","1,601","1,604","1,598","1,599","1,601","1,610","1,611","1,612","1,611","1,617","1,623"
13,"1,782","1,779","1,882","1,891","1,966","1,920","1,911","1,920","1,763","1,792","1,744","1,723","1,659","1,636","1,591","1,600","1,599","1,602","1,596","1,597","1,599","1,608","1,609","1,610","1,609","1,615"
14,"1,702","1,781","1,778","1,879","1,888","1,964","1,918","1,911","1,920","1,763","1,792","1,744","1,723","1,659","1,636","1,591","1,600","1,599","1,602","1,596","1,597","1,599","1,608","1,609","1,610","1,609"
15,"1,684","1,710","1,789","1,788","1,886","1,895","1,970","1,924","1,918","1,926","1,770","1,798","1,751","1,730","1,666","1,643","1,598","1,607","1,606","1,609","1,603","1,604","1,606","1,615","1,616","1,617"
16,"1,617","1,691","1,715","1,793","1,795","1,890","1,899","1,975","1,930","1,924","1,932","1,776","1,804","1,757","1,737","1,672","1,650","1,605","1,614","1,613","1,616","1,610","1,611","1,613","1,622","1,623"
17,"1,672","1,627","1,704","1,731","1,808","1,809","1,902","1,912","1,990","1,945","1,938","1,947","1,792","1,818","1,771","1,751","1,687","1,664","1,619","1,627","1,627","1,630","1,624","1,624","1,626","1,635"
18,"1,734","1,640","1,595","1,675","1,698","1,775","1,773","1,863","1,875","1,947","1,904","1,900","1,908","1,759","1,781","1,737","1,723","1,655","1,633","1,589","1,597","1,597","1,600","1,594","1,594","1,596"
19,"1,754","1,698","1,607","1,564","1,643","1,666","1,739","1,738","1,828","1,839","1,906","1,865","1,868","1,871","1,728","1,748","1,705","1,695","1,625","1,606","1,563","1,571","1,571","1,574","1,568","1,568"
20,"1,791","1,819","1,754","1,667","1,619","1,697","1,723","1,797","1,796","1,885","1,896","1,964","1,923","1,929","1,929","1,788","1,808","1,763","1,754","1,682","1,662","1,618","1,625","1,625","1,628","1,622"
21,"1,725","1,740","1,764","1,695","1,610","1,560","1,638","1,665","1,737","1,738","1,826","1,841","1,908","1,867","1,875","1,873","1,734","1,753","1,708","1,699","1,628","1,607","1,565","1,572","1,572","1,575"
22,"1,768","1,726","1,731","1,753","1,686","1,602","1,552","1,628","1,655","1,726","1,729","1,815","1,832","1,898","1,856","1,865","1,863","1,725","1,744","1,699","1,692","1,621","1,601","1,558","1,565","1,565"
23,"1,856","1,792","1,755","1,767","1,782","1,715","1,630","1,577","1,654","1,682","1,752","1,755","1,841","1,859","1,924","1,882","1,893","1,890","1,753","1,773","1,728","1,720","1,649","1,630","1,586","1,593"
24,"1,786","1,869","1,811","1,775","1,782","1,798","1,731","1,644","1,591","1,667","1,697","1,766","1,770","1,855","1,874","1,936","1,896","1,911","1,905","1,771","1,790","1,745","1,739","1,668","1,650","1,605"
25,"1,878","1,819","1,902","1,846","1,813","1,813","1,829","1,762","1,676","1,622","1,696","1,728","1,797","1,800","1,883","1,905","1,966","1,925","1,943","1,935","1,804","1,823","1,777","1,773","1,701","1,684"
