"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Fife,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"371,910","371,943","371,882","371,856","371,901","371,858","371,824","371,799","371,717","371,591","371,430","371,229","370,942","370,658","370,251","369,799","369,270","368,702","368,150","367,572","366,988","366,415","365,850","365,285","364,726","364,164"
0,"3,503","3,430","3,452","3,428","3,393","3,369","3,358","3,343","3,319","3,295","3,269","3,250","3,225","3,214","3,195","3,185","3,172","3,169","3,164","3,178","3,179","3,194","3,198","3,202","3,201","3,197"
1,"3,629","3,537","3,460","3,482","3,457","3,419","3,398","3,387","3,372","3,348","3,324","3,298","3,279","3,254","3,243","3,224","3,214","3,201","3,199","3,195","3,209","3,209","3,224","3,228","3,233","3,232"
2,"3,797","3,664","3,571","3,497","3,521","3,494","3,458","3,438","3,427","3,412","3,387","3,364","3,337","3,318","3,295","3,284","3,265","3,255","3,242","3,240","3,236","3,250","3,250","3,265","3,269","3,274"
3,"4,027","3,822","3,687","3,594","3,519","3,548","3,519","3,483","3,464","3,453","3,438","3,413","3,390","3,363","3,344","3,321","3,309","3,291","3,281","3,268","3,266","3,262","3,276","3,276","3,291","3,295"
4,"4,000","4,040","3,840","3,702","3,611","3,537","3,564","3,537","3,501","3,482","3,471","3,456","3,431","3,408","3,381","3,362","3,339","3,326","3,308","3,298","3,285","3,283","3,279","3,293","3,293","3,308"
5,"4,093","4,025","4,067","3,862","3,726","3,633","3,560","3,586","3,559","3,523","3,505","3,494","3,479","3,454","3,431","3,404","3,385","3,362","3,349","3,331","3,321","3,308","3,306","3,302","3,316","3,316"
6,"4,190","4,100","4,030","4,075","3,871","3,736","3,642","3,568","3,593","3,567","3,531","3,512","3,501","3,486","3,461","3,438","3,411","3,392","3,369","3,356","3,338","3,328","3,315","3,313","3,309","3,323"
7,"4,427","4,210","4,120","4,047","4,094","3,888","3,754","3,661","3,587","3,610","3,584","3,548","3,529","3,518","3,503","3,478","3,455","3,428","3,409","3,386","3,373","3,355","3,345","3,332","3,330","3,326"
8,"4,315","4,437","4,218","4,129","4,058","4,105","3,899","3,767","3,674","3,599","3,622","3,596","3,560","3,541","3,530","3,515","3,490","3,467","3,440","3,421","3,398","3,385","3,367","3,357","3,344","3,342"
9,"4,347","4,322","4,450","4,230","4,144","4,073","4,120","3,914","3,781","3,688","3,612","3,636","3,611","3,574","3,556","3,545","3,529","3,504","3,481","3,454","3,435","3,412","3,399","3,381","3,371","3,358"
10,"4,299","4,358","4,339","4,466","4,246","4,158","4,087","4,136","3,930","3,795","3,701","3,624","3,649","3,624","3,585","3,568","3,557","3,541","3,515","3,492","3,465","3,447","3,423","3,410","3,391","3,381"
11,"4,063","4,298","4,359","4,338","4,467","4,249","4,161","4,089","4,137","3,931","3,796","3,702","3,624","3,649","3,623","3,585","3,568","3,557","3,541","3,515","3,492","3,465","3,447","3,423","3,410","3,391"
12,"4,090","4,091","4,322","4,380","4,359","4,490","4,276","4,185","4,113","4,159","3,953","3,816","3,722","3,644","3,668","3,642","3,604","3,587","3,576","3,560","3,534","3,511","3,484","3,466","3,441","3,428"
13,"3,973","4,088","4,091","4,325","4,384","4,363","4,493","4,278","4,187","4,115","4,160","3,953","3,815","3,722","3,643","3,668","3,642","3,604","3,587","3,576","3,560","3,534","3,511","3,484","3,466","3,441"
14,"3,931","3,955","4,071","4,077","4,309","4,368","4,343","4,475","4,262","4,171","4,099","4,143","3,937","3,800","3,708","3,629","3,654","3,628","3,590","3,573","3,562","3,546","3,520","3,497","3,470","3,452"
15,"3,789","3,914","3,942","4,054","4,065","4,293","4,353","4,330","4,462","4,249","4,158","4,086","4,130","3,925","3,789","3,697","3,618","3,642","3,617","3,579","3,562","3,550","3,534","3,508","3,485","3,458"
16,"3,677","3,797","3,917","3,947","4,063","4,071","4,297","4,359","4,335","4,469","4,255","4,164","4,092","4,136","3,931","3,794","3,702","3,624","3,648","3,624","3,586","3,569","3,557","3,541","3,515","3,492"
17,"3,938","3,689","3,808","3,929","3,960","4,075","4,082","4,311","4,373","4,348","4,483","4,270","4,178","4,105","4,149","3,945","3,808","3,717","3,638","3,662","3,639","3,600","3,583","3,571","3,555","3,529"
18,"4,012","4,023","3,775","3,878","4,009","4,053","4,157","4,178","4,403","4,465","4,442","4,582","4,374","4,285","4,214","4,252","4,056","3,925","3,836","3,756","3,777","3,755","3,718","3,701","3,689","3,673"
19,"4,881","4,325","4,312","4,054","4,144","4,281","4,330","4,434","4,465","4,693","4,760","4,737","4,879","4,686","4,593","4,521","4,545","4,365","4,234","4,137","4,057","4,069","4,053","4,017","4,001","3,989"
20,"4,833","4,941","4,398","4,379","4,120","4,208","4,345","4,396","4,500","4,534","4,760","4,832","4,809","4,953","4,763","4,670","4,596","4,618","4,440","4,312","4,214","4,130","4,143","4,127","4,090","4,073"
21,"4,960","4,754","4,873","4,347","4,328","4,075","4,164","4,296","4,351","4,452","4,490","4,713","4,783","4,761","4,905","4,719","4,626","4,552","4,573","4,396","4,272","4,175","4,089","4,101","4,086","4,048"
22,"4,876","4,768","4,582","4,724","4,227","4,202","3,958","4,046","4,176","4,232","4,330","4,373","4,592","4,659","4,637","4,783","4,599","4,508","4,435","4,456","4,281","4,159","4,064","3,979","3,992","3,977"
23,"4,626","4,602","4,513","4,354","4,517","4,048","4,026","3,793","3,878","4,004","4,060","4,154","4,201","4,416","4,477","4,457","4,604","4,422","4,332","4,262","4,282","4,113","3,992","3,903","3,817","3,835"
24,"4,638","4,418","4,396","4,329","4,180","4,356","3,907","3,886","3,667","3,750","3,873","3,925","4,015","4,062","4,274","4,327","4,306","4,454","4,274","4,187","4,119","4,140","3,976","3,862","3,777","3,691"
25,"4,471","4,526","4,301","4,278","4,230","4,089","4,263","3,835","3,812","3,601","3,679","3,799","3,850","3,938","3,988","4,192","4,243","4,222","4,372","4,192","4,104","4,043","4,062","3,901","3,790","3,708"
