"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Glasgow City,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"626,410","629,322","631,648","633,630","635,358","636,901","638,319","639,767","641,281","642,796","644,274","645,750","647,273","648,788","650,291","651,771","653,179","654,535","655,835","657,060","658,220","659,296","660,288","661,188","662,011","662,738"
0,"6,574","6,500","6,606","6,620","6,614","6,617","6,619","6,611","6,584","6,558","6,526","6,497","6,478","6,454","6,437","6,432","6,429","6,436","6,457","6,481","6,509","6,542","6,567","6,579","6,592","6,586"
1,"6,770","6,437","6,348","6,451","6,464","6,459","6,457","6,462","6,454","6,429","6,402","6,370","6,342","6,324","6,299","6,281","6,277","6,273","6,280","6,302","6,326","6,354","6,387","6,411","6,423","6,437"
2,"6,740","6,607","6,292","6,193","6,290","6,301","6,293","6,293","6,298","6,290","6,265","6,239","6,208","6,178","6,160","6,135","6,118","6,114","6,111","6,118","6,140","6,163","6,190","6,224","6,249","6,262"
3,"6,802","6,607","6,478","6,168","6,067","6,159","6,166","6,156","6,156","6,162","6,154","6,128","6,103","6,073","6,042","6,024","5,999","5,982","5,978","5,975","5,982","6,003","6,027","6,054","6,087","6,112"
4,"6,760","6,685","6,496","6,360","6,062","5,967","6,055","6,060","6,049","6,049","6,055","6,047","6,021","5,996","5,966","5,936","5,917","5,892","5,875","5,871","5,868","5,875","5,896","5,920","5,947","5,982"
5,"6,716","6,673","6,586","6,394","6,263","5,973","5,876","5,965","5,969","5,958","5,959","5,965","5,957","5,931","5,906","5,875","5,845","5,827","5,802","5,785","5,781","5,778","5,785","5,806","5,829","5,856"
6,"6,918","6,663","6,621","6,530","6,343","6,211","5,929","5,835","5,923","5,924","5,915","5,916","5,922","5,914","5,888","5,862","5,832","5,804","5,784","5,759","5,742","5,737","5,735","5,741","5,762","5,785"
7,"6,879","6,847","6,599","6,557","6,462","6,284","6,147","5,873","5,779","5,866","5,867","5,858","5,859","5,865","5,857","5,831","5,805","5,776","5,749","5,728","5,702","5,685","5,680","5,679","5,685","5,706"
8,"6,104","6,818","6,787","6,533","6,487","6,386","6,217","6,085","5,817","5,719","5,806","5,807","5,798","5,799","5,805","5,797","5,771","5,746","5,717","5,690","5,669","5,643","5,626","5,620","5,619","5,625"
9,"6,231","6,054","6,750","6,708","6,461","6,412","6,314","6,147","6,015","5,754","5,658","5,744","5,745","5,736","5,737","5,743","5,735","5,709","5,685","5,656","5,630","5,609","5,583","5,566","5,560","5,559"
10,"6,055","6,188","6,004","6,683","6,639","6,392","6,345","6,248","6,083","5,955","5,696","5,601","5,687","5,688","5,678","5,680","5,686","5,678","5,652","5,628","5,599","5,574","5,554","5,528","5,510","5,504"
11,"5,742","6,017","6,147","5,963","6,628","6,577","6,339","6,292","6,197","6,034","5,906","5,654","5,558","5,645","5,646","5,636","5,638","5,644","5,636","5,610","5,587","5,558","5,533","5,513","5,488","5,470"
12,"5,562","5,708","5,979","6,102","5,919","6,577","6,525","6,288","6,241","6,146","5,988","5,863","5,613","5,520","5,607","5,607","5,597","5,600","5,606","5,598","5,572","5,549","5,520","5,497","5,477","5,452"
13,"5,436","5,561","5,707","5,967","6,087","5,905","6,555","6,501","6,267","6,218","6,124","5,971","5,848","5,599","5,503","5,591","5,591","5,581","5,584","5,589","5,581","5,555","5,532","5,505","5,482","5,462"
14,"5,333","5,435","5,556","5,695","5,951","6,070","5,896","6,535","6,478","6,245","6,200","6,103","5,954","5,830","5,588","5,490","5,578","5,579","5,568","5,571","5,576","5,568","5,542","5,519","5,492","5,469"
15,"5,316","5,368","5,473","5,592","5,729","5,981","6,096","5,926","6,556","6,502","6,271","6,225","6,130","5,982","5,856","5,617","5,517","5,605","5,606","5,595","5,598","5,603","5,595","5,569","5,546","5,519"
16,"5,323","5,361","5,415","5,520","5,636","5,771","6,025","6,141","5,972","6,601","6,546","6,318","6,272","6,175","6,029","5,900","5,663","5,562","5,647","5,648","5,638","5,640","5,646","5,637","5,611","5,588"
17,"5,900","5,385","5,423","5,479","5,589","5,701","5,834","6,090","6,206","6,036","6,661","6,605","6,383","6,337","6,239","6,094","5,963","5,729","5,627","5,712","5,713","5,703","5,705","5,711","5,702","5,676"
18,"6,693","6,580","6,076","6,112","6,183","6,299","6,433","6,573","6,857","6,981","6,792","7,424","7,355","7,120","7,062","6,963","6,809","6,649","6,412","6,290","6,375","6,377","6,364","6,365","6,371","6,362"
19,"8,343","7,941","7,796","7,286","7,311","7,407","7,538","7,696","7,855","8,182","8,316","8,109","8,744","8,666","8,412","8,329","8,228","8,068","7,870","7,617","7,457","7,540","7,543","7,524","7,523","7,527"
20,"9,464","9,154","8,715","8,552","8,046","8,050","8,159","8,305","8,468","8,631","8,978","9,117","8,899","9,542","9,448","9,192","9,096","8,992","8,825","8,615","8,356","8,183","8,268","8,269","8,250","8,248"
21,"10,157","10,104","9,774","9,298","9,118","8,618","8,620","8,736","8,893","9,055","9,224","9,586","9,727","9,504","10,150","10,042","9,784","9,684","9,576","9,405","9,187","8,924","8,739","8,824","8,826","8,807"
22,"10,730","10,757","10,671","10,350","9,836","9,638","9,142","9,146","9,284","9,451","9,613","9,788","10,158","10,302","10,071","10,724","10,602","10,348","10,234","10,129","9,950","9,724","9,458","9,261","9,347","9,349"
23,"11,265","11,459","11,470","11,340","11,010","10,461","10,257","9,770","9,771","9,930","10,106","10,267","10,449","10,826","10,976","10,730","11,393","11,255","11,001","10,878","10,768","10,588","10,354","10,087","9,880","9,964"
24,"11,780","11,738","11,895","11,891","11,732","11,401","10,840","10,631","10,147","10,156","10,328","10,511","10,671","10,856","11,247","11,396","11,140","11,804","11,653","11,404","11,275","11,162","10,983","10,739","10,477","10,257"
25,"13,035","12,124","12,045","12,194","12,181","12,008","11,670","11,099","10,879","10,409","10,418","10,606","10,796","10,953","11,143","11,549","11,692","11,435","12,101","11,940","11,690","11,550","11,435","11,256","11,003","10,742"
