"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"235,540","235,793","236,078","236,327","236,488","236,643","236,709","236,768","236,762","236,737","236,664","236,553","236,414","236,240","236,028","235,783","235,512","235,284","235,041","234,846","234,559","234,307","234,050","233,782","233,510","233,250",
0,"2,048","2,023","2,038","2,035","2,022","2,012","2,006","2,013","2,008","2,006","2,004","1,995","1,995","1,991","1,986","1,987","1,982","1,981","1,985","1,988","1,987","1,997","1,997","1,990","1,994","1,994",
1,"2,147","2,062","2,034","2,050","2,049","2,038","2,025","2,018","2,025","2,020","2,019","2,016","2,007","2,007","2,004","1,999","2,000","1,995","1,994","1,998","2,001","2,000","2,010","2,010","2,003","2,007",
2,"2,279","2,169","2,086","2,054","2,071","2,071","2,058","2,045","2,038","2,045","2,040","2,039","2,036","2,027","2,027","2,024","2,019","2,020","2,015","2,014","2,018","2,021","2,020","2,030","2,030","2,023",
3,"2,402","2,292","2,182","2,098","2,067","2,083","2,084","2,071","2,058","2,051","2,058","2,053","2,052","2,049","2,040","2,040","2,037","2,032","2,033","2,028","2,027","2,031","2,034","2,033","2,043","2,043",
4,"2,300","2,407","2,298","2,187","2,105","2,074","2,090","2,090","2,077","2,064","2,057","2,064","2,059","2,058","2,055","2,046","2,046","2,043","2,038","2,039","2,034","2,033","2,037","2,040","2,039","2,049",
5,"2,393","2,312","2,423","2,313","2,202","2,118","2,089","2,104","2,103","2,090","2,077","2,070","2,077","2,072","2,071","2,068","2,059","2,059","2,057","2,051","2,052","2,048","2,046","2,051","2,053","2,053",
6,"2,494","2,406","2,325","2,432","2,323","2,214","2,130","2,101","2,115","2,114","2,101","2,088","2,081","2,088","2,083","2,082","2,079","2,070","2,070","2,068","2,062","2,063","2,059","2,057","2,062","2,064",
7,"2,578","2,505","2,416","2,334","2,437","2,329","2,223","2,139","2,108","2,122","2,121","2,108","2,096","2,089","2,096","2,091","2,090","2,087","2,078","2,078","2,076","2,070","2,071","2,067","2,065","2,070",
8,"2,470","2,599","2,525","2,436","2,352","2,455","2,348","2,242","2,158","2,126","2,139","2,138","2,125","2,113","2,106","2,113","2,108","2,107","2,104","2,095","2,095","2,093","2,087","2,088","2,084","2,082",
9,"2,706","2,477","2,613","2,533","2,446","2,362","2,464","2,357","2,250","2,166","2,135","2,147","2,147","2,134","2,121","2,114","2,121","2,116","2,115","2,112","2,103","2,103","2,101","2,095","2,096","2,092",
10,"2,676","2,716","2,488","2,622","2,543","2,456","2,372","2,472","2,366","2,259","2,174","2,143","2,156","2,156","2,143","2,130","2,123","2,130","2,125","2,124","2,121","2,112","2,112","2,110","2,104","2,105",
11,"2,606","2,685","2,726","2,502","2,634","2,557","2,468","2,385","2,484","2,378","2,271","2,186","2,155","2,167","2,167","2,154","2,141","2,134","2,141","2,136","2,135","2,132","2,123","2,123","2,121","2,115",
12,"2,602","2,605","2,684","2,728","2,506","2,637","2,560","2,471","2,388","2,486","2,380","2,273","2,189","2,158","2,170","2,169","2,156","2,144","2,137","2,144","2,139","2,138","2,135","2,125","2,125","2,123",
13,"2,606","2,615","2,618","2,698","2,743","2,522","2,650","2,574","2,485","2,402","2,499","2,393","2,286","2,202","2,171","2,183","2,181","2,169","2,157","2,150","2,157","2,152","2,151","2,148","2,138","2,138",
14,"2,535","2,625","2,640","2,640","2,718","2,765","2,544","2,673","2,598","2,508","2,425","2,521","2,415","2,308","2,222","2,191","2,203","2,201","2,189","2,177","2,170","2,177","2,172","2,171","2,167","2,157",
15,"2,493","2,521","2,613","2,631","2,628","2,709","2,754","2,534","2,663","2,588","2,498","2,415","2,511","2,405","2,298","2,213","2,182","2,194","2,192","2,180","2,168","2,161","2,168","2,163","2,162","2,158",
16,"2,510","2,494","2,523","2,617","2,636","2,632","2,714","2,757","2,539","2,667","2,592","2,503","2,419","2,515","2,409","2,303","2,219","2,187","2,199","2,197","2,185","2,173","2,166","2,173","2,168","2,167",
17,"2,582","2,498","2,481","2,511","2,606","2,626","2,622","2,701","2,745","2,529","2,655","2,581","2,494","2,409","2,505","2,400","2,293","2,210","2,177","2,190","2,188","2,176","2,164","2,157","2,164","2,159",
18,"2,382","2,401","2,322","2,313","2,331","2,420","2,444","2,441","2,515","2,557","2,357","2,474","2,403","2,323","2,250","2,331","2,238","2,133","2,058","2,028","2,040","2,038","2,026","2,014","2,007","2,014",
19,"2,422","2,144","2,157","2,091","2,085","2,106","2,185","2,204","2,204","2,271","2,312","2,130","2,239","2,172","2,097","2,036","2,101","2,021","1,929","1,863","1,833","1,846","1,845","1,834","1,822","1,815",
20,"2,276","2,363","2,099","2,105","2,043","2,039","2,059","2,133","2,158","2,157","2,222","2,262","2,085","2,193","2,128","2,054","1,998","2,057","1,981","1,893","1,826","1,797","1,809","1,809","1,798","1,785",
21,"2,222","2,286","2,370","2,109","2,112","2,050","2,048","2,068","2,142","2,168","2,167","2,234","2,274","2,101","2,209","2,145","2,070","2,019","2,072","1,999","1,915","1,847","1,819","1,828","1,829","1,817",
22,"2,268","2,280","2,341","2,420","2,159","2,155","2,091","2,096","2,113","2,188","2,216","2,215","2,288","2,326","2,158","2,266","2,204","2,127","2,078","2,125","2,056","1,972","1,906","1,876","1,887","1,888",
23,"2,469","2,325","2,337","2,396","2,473","2,216","2,204","2,142","2,147","2,166","2,241","2,271","2,271","2,346","2,383","2,218","2,328","2,269","2,192","2,145","2,187","2,122","2,038","1,971","1,942","1,950",
24,"2,562","2,515","2,387","2,407","2,457","2,533","2,278","2,262","2,197","2,202","2,224","2,299","2,332","2,333","2,407","2,447","2,287","2,398","2,341","2,262","2,217","2,256","2,193","2,109","2,041","2,011",
25,"2,380","2,551","2,513","2,385","2,408","2,451","2,521","2,274","2,257","2,191","2,196","2,218","2,293","2,327","2,328","2,404","2,444","2,289","2,396","2,342","2,263","2,220","2,258","2,197","2,114","2,046",
