"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"91,340","92,608","93,871","95,166","96,473","97,726","99,002","100,252","101,494","102,736","103,945","105,137","106,294","107,423","108,525","109,588","110,625","111,655","112,679","113,690","114,694","115,675","116,669","117,671","118,659","119,637"
0,"1,095","1,015","1,050","1,064","1,084","1,095","1,118","1,128","1,135","1,146","1,150","1,154","1,150","1,158","1,157","1,161","1,168","1,175","1,188","1,195","1,206","1,222","1,236","1,249","1,262","1,272"
1,"1,124","1,123","1,048","1,081","1,097","1,113","1,126","1,150","1,160","1,167","1,178","1,182","1,186","1,182","1,190","1,189","1,193","1,200","1,207","1,220","1,227","1,238","1,254","1,268","1,281","1,294"
2,"1,198","1,166","1,165","1,092","1,124","1,137","1,156","1,168","1,192","1,203","1,210","1,221","1,225","1,229","1,225","1,233","1,232","1,236","1,243","1,250","1,263","1,270","1,281","1,297","1,311","1,324"
3,"1,213","1,217","1,183","1,182","1,110","1,145","1,156","1,175","1,187","1,211","1,222","1,230","1,241","1,245","1,249","1,245","1,253","1,252","1,256","1,263","1,270","1,283","1,290","1,301","1,317","1,331"
4,"1,191","1,239","1,243","1,207","1,205","1,133","1,169","1,180","1,199","1,211","1,235","1,246","1,254","1,265","1,269","1,273","1,269","1,277","1,276","1,280","1,287","1,294","1,307","1,314","1,325","1,341"
5,"1,120","1,205","1,250","1,252","1,217","1,215","1,144","1,180","1,190","1,209","1,221","1,245","1,256","1,264","1,275","1,279","1,283","1,279","1,287","1,286","1,290","1,297","1,304","1,317","1,324","1,335"
6,"1,192","1,129","1,216","1,257","1,255","1,223","1,220","1,151","1,187","1,196","1,215","1,227","1,251","1,262","1,270","1,281","1,285","1,289","1,285","1,293","1,292","1,296","1,303","1,310","1,323","1,330"
7,"1,139","1,198","1,134","1,221","1,259","1,258","1,225","1,222","1,154","1,190","1,199","1,218","1,230","1,254","1,265","1,273","1,284","1,288","1,292","1,288","1,296","1,295","1,299","1,306","1,313","1,327"
8,"1,126","1,153","1,210","1,147","1,233","1,268","1,268","1,234","1,231","1,164","1,200","1,209","1,228","1,240","1,264","1,275","1,283","1,294","1,298","1,302","1,298","1,306","1,305","1,309","1,316","1,323"
9,"1,103","1,133","1,162","1,216","1,156","1,239","1,273","1,273","1,238","1,236","1,169","1,205","1,214","1,233","1,245","1,269","1,280","1,288","1,299","1,303","1,307","1,303","1,311","1,310","1,314","1,321"
10,"1,072","1,115","1,141","1,173","1,226","1,167","1,249","1,282","1,282","1,246","1,245","1,178","1,214","1,223","1,242","1,254","1,278","1,289","1,297","1,308","1,312","1,316","1,312","1,320","1,319","1,323"
11,"1,016","1,083","1,122","1,146","1,181","1,231","1,172","1,254","1,287","1,287","1,250","1,249","1,182","1,218","1,227","1,246","1,258","1,282","1,293","1,301","1,312","1,316","1,320","1,316","1,324","1,323"
12,"1,055","1,022","1,090","1,125","1,148","1,185","1,234","1,175","1,256","1,289","1,289","1,251","1,250","1,183","1,219","1,228","1,247","1,259","1,283","1,294","1,302","1,313","1,317","1,321","1,317","1,325"
13,"1,009","1,061","1,026","1,098","1,134","1,154","1,194","1,240","1,181","1,262","1,295","1,294","1,256","1,255","1,188","1,224","1,233","1,252","1,264","1,288","1,299","1,307","1,318","1,322","1,326","1,322"
14,990,"1,020","1,068","1,035","1,110","1,146","1,162","1,206","1,250","1,191","1,272","1,305","1,304","1,264","1,263","1,196","1,232","1,241","1,260","1,272","1,296","1,307","1,315","1,326","1,330","1,334"
15,947,"1,000","1,032","1,080","1,052","1,125","1,163","1,177","1,223","1,266","1,207","1,288","1,321","1,319","1,278","1,277","1,210","1,246","1,255","1,274","1,286","1,310","1,321","1,329","1,340","1,344"
16,912,949,"1,003","1,035","1,083","1,053","1,129","1,166","1,180","1,227","1,269","1,210","1,291","1,323","1,321","1,281","1,280","1,212","1,249","1,258","1,277","1,289","1,313","1,324","1,332","1,343"
17,998,904,940,995,"1,027","1,072","1,044","1,121","1,158","1,172","1,218","1,260","1,202","1,281","1,312","1,309","1,269","1,270","1,201","1,238","1,247","1,266","1,278","1,302","1,313","1,321"
18,"1,003",959,872,908,961,990,"1,032","1,005","1,080","1,116","1,128","1,174","1,214","1,156","1,233","1,264","1,260","1,221","1,222","1,154","1,190","1,198","1,217","1,229","1,253","1,264"
19,971,958,912,828,862,913,940,980,956,"1,025","1,060","1,069","1,114","1,149","1,092","1,166","1,195","1,191","1,152","1,154","1,089","1,123","1,130","1,149","1,161","1,184"
20,911,969,955,910,829,862,910,937,978,955,"1,025","1,060","1,067","1,113","1,149","1,090","1,164","1,193","1,188","1,149","1,151","1,087","1,119","1,126","1,145","1,157"
21,927,921,974,958,911,834,866,912,939,980,958,"1,027","1,063","1,071","1,115","1,150","1,092","1,166","1,195","1,190","1,150","1,152","1,088","1,120","1,127","1,146"
22,916,943,933,982,963,918,843,873,920,945,988,966,"1,032","1,069","1,077","1,118","1,152","1,094","1,168","1,196","1,191","1,151","1,153","1,090","1,123","1,130"
23,"1,035",932,951,943,989,970,923,850,880,926,950,994,973,"1,037","1,074","1,081","1,123","1,156","1,098","1,169","1,199","1,194","1,152","1,153","1,091","1,123"
24,"1,059","1,033",934,950,944,988,966,922,849,879,925,947,993,974,"1,035","1,072","1,077","1,119","1,150","1,093","1,161","1,191","1,186","1,145","1,144","1,084"
25,"1,034","1,061","1,038",946,964,956,995,972,931,858,888,931,956,"1,002",984,"1,044","1,080","1,084","1,126","1,155","1,099","1,163","1,193","1,189","1,147","1,145"
26,"1,123","1,079","1,104","1,082",997,"1,012","1,001","1,037","1,013",974,902,929,972,999,"1,045","1,028","1,087","1,124","1,127","1,169","1,196","1,140","1,203","1,231","1,227","1,184"
27,"1,157","1,163","1,117","1,142","1,122","1,035","1,051","1,040","1,074","1,047","1,007",938,963,"1,005","1,034","1,080","1,065","1,122","1,161","1,162","1,204","1,228","1,174","1,234","1,260","1,257"
