"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"95,520","95,669","95,746","95,792","95,780","95,749","95,732","95,662","95,602","95,511","95,409","95,302","95,170","95,012","94,875","94,715","94,556","94,390","94,223","94,073","93,909","93,752","93,560","93,358","93,171","92,966"
0,835,823,833,821,824,814,814,811,804,801,796,792,785,777,774,769,764,763,760,761,760,760,759,755,756,747
1,872,834,819,831,818,821,811,811,808,801,798,793,789,782,776,773,768,763,762,759,760,759,759,758,754,755
2,949,877,841,823,835,822,827,818,818,815,808,805,801,797,790,784,780,776,771,770,767,768,767,767,766,762
3,915,943,873,836,819,830,818,823,814,813,810,803,800,796,793,786,779,775,771,766,765,762,763,762,763,762
4,951,928,953,882,843,827,840,827,831,823,822,819,812,809,805,802,795,788,784,780,775,774,771,772,771,772
5,"1,008",948,924,947,875,835,821,834,821,825,817,816,813,806,803,799,796,789,782,778,775,770,769,766,767,766
6,953,"1,020",958,935,954,882,845,830,843,831,835,826,825,822,815,812,808,805,798,792,788,785,780,780,777,778
7,"1,092",966,"1,027",964,942,962,888,852,837,849,837,841,832,831,828,821,818,814,811,804,798,794,792,787,788,784
8,"1,072","1,087",962,"1,019",955,932,954,880,844,828,841,830,833,824,823,820,813,810,806,803,796,790,786,785,780,781
9,"1,103","1,081","1,092",973,"1,027",965,942,962,889,854,837,850,839,842,833,832,829,822,819,815,812,804,798,794,793,788
10,"1,204","1,097","1,073","1,086",968,"1,021",959,937,957,884,849,833,846,835,838,829,828,825,818,815,811,808,800,794,790,789
11,"1,084","1,203","1,100","1,074","1,087",968,"1,022",960,937,955,883,849,833,846,835,838,829,828,825,818,815,811,808,800,795,791
12,"1,021","1,090","1,206","1,106","1,078","1,092",975,"1,027",966,943,961,889,855,840,853,842,845,836,835,832,825,822,818,815,807,802
13,"1,018","1,031","1,099","1,214","1,114","1,086","1,100",985,"1,036",974,952,970,897,863,848,861,850,853,844,843,840,833,830,826,823,815
14,"1,030","1,030","1,046","1,113","1,228","1,129","1,102","1,114","1,001","1,051",988,966,984,911,877,861,874,863,866,857,856,853,846,843,839,836
15,"1,066","1,045","1,044","1,061","1,122","1,238","1,141","1,112","1,125","1,013","1,061",999,977,995,922,888,873,886,875,878,869,868,865,858,855,851
16,"1,044","1,086","1,067","1,069","1,083","1,148","1,257","1,163","1,134","1,147","1,037","1,083","1,022",999,"1,017",944,911,896,908,897,900,891,890,887,880,877
17,"1,095","1,057","1,094","1,076","1,079","1,092","1,155","1,266","1,174","1,146","1,159","1,047","1,094","1,034","1,011","1,029",955,922,907,919,908,911,902,901,898,891
18,"1,032",990,956,988,973,974,988,"1,046","1,141","1,060","1,035","1,051",943,990,933,913,933,862,834,818,831,820,823,814,813,810
19,995,929,891,862,891,881,876,891,940,"1,022",953,931,950,847,892,840,826,843,779,754,740,753,742,745,736,735
20,935,"1,000",934,896,865,892,885,881,893,940,"1,020",953,931,951,852,893,845,833,850,786,763,750,763,752,755,746
21,997,947,"1,008",944,901,871,896,889,887,897,945,"1,022",958,936,959,858,899,852,840,857,793,771,757,770,759,762
22,"1,100","1,020",968,"1,031",962,919,892,914,908,905,917,965,"1,040",981,959,982,883,923,876,864,881,817,796,782,794,784
23,"1,085","1,112","1,035",983,"1,045",974,932,905,926,923,918,932,978,"1,051",996,974,997,900,938,894,881,898,833,814,799,811
24,"1,102","1,062","1,087","1,015",967,"1,025",952,913,889,909,903,900,914,959,"1,030",978,958,980,886,920,878,866,883,818,799,786
25,"1,104","1,143","1,105","1,132","1,063","1,016","1,068",995,957,935,953,948,944,959,"1,003","1,070","1,023","1,003","1,025",932,966,925,912,928,864,846
26,"1,121","1,094","1,133","1,094","1,121","1,055","1,010","1,060",989,950,927,944,940,937,952,995,"1,059","1,016",996,"1,018",926,959,919,905,921,857
27,"1,021","1,167","1,134","1,166","1,130","1,153","1,094","1,049","1,097","1,025",985,963,979,975,973,988,"1,030","1,095","1,052","1,033","1,055",965,998,957,944,960
28,"1,049","1,017","1,158","1,119","1,147","1,117","1,139","1,080","1,035","1,082","1,010",970,947,963,960,958,973,"1,015","1,077","1,037","1,018","1,041",951,984,943,929
29,"1,054","1,046","1,013","1,150","1,110","1,136","1,108","1,128","1,070","1,026","1,072",999,960,934,951,948,945,961,"1,004","1,066","1,028","1,008","1,030",941,976,933
30,"1,084","1,068","1,061","1,031","1,164","1,121","1,146","1,116","1,137","1,079","1,036","1,080","1,008",968,942,957,956,954,969,"1,011","1,075","1,037","1,017","1,039",952,986
31,"1,143","1,094","1,084","1,076","1,047","1,175","1,131","1,154","1,126","1,147","1,091","1,048","1,091","1,019",978,953,967,966,964,980,"1,021","1,085","1,047","1,027","1,050",963
32,"1,157","1,173","1,129","1,116","1,105","1,077","1,203","1,158","1,177","1,150","1,171","1,114","1,072","1,114","1,041","1,000",974,987,987,984,"1,002","1,042","1,106","1,070","1,050","1,072"
33,"1,154","1,115","1,128","1,087","1,071","1,062","1,034","1,157","1,114","1,131","1,106","1,126","1,069","1,028","1,069",997,956,930,943,942,939,958,998,"1,061","1,026","1,006"
34,"1,090","1,182","1,145","1,158","1,115","1,106","1,096","1,070","1,191","1,149","1,166","1,140","1,160","1,103","1,062","1,102","1,030",988,962,974,973,971,990,"1,029","1,093","1,060"
35,"1,083","1,093","1,181","1,144","1,158","1,117","1,109","1,097","1,074","1,192","1,151","1,167","1,140","1,160","1,104","1,065","1,104","1,032",991,963,976,974,973,993,"1,033","1,096"
36,"1,137","1,066","1,077","1,167","1,130","1,143","1,103","1,094","1,083","1,062","1,176","1,135","1,150","1,124","1,143","1,089","1,050","1,089","1,017",977,949,962,962,961,980,"1,020"
37,"1,010","1,140","1,072","1,083","1,173","1,135","1,150","1,111","1,101","1,089","1,070","1,183","1,141","1,156","1,130","1,149","1,096","1,057","1,096","1,024",985,956,970,970,968,988
38,"1,151","1,061","1,185","1,117","1,126","1,217","1,182","1,196","1,160","1,149","1,137","1,121","1,231","1,189","1,202","1,176","1,194","1,142","1,103","1,142","1,068","1,031","1,002","1,015","1,016","1,015"
