"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ayrshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"135,280","134,967","134,652","134,246","133,806","133,349","132,902","132,482","132,030","131,563","131,057","130,543","129,987","129,445","128,882","128,310","127,741","127,152","126,575","125,981","125,373","124,764","124,175","123,564","122,952","122,334"
0,"1,208","1,166","1,175","1,174","1,166","1,165","1,159","1,159","1,155","1,152","1,145","1,137","1,131","1,129","1,118","1,114","1,104","1,095","1,090","1,082","1,079","1,074","1,068","1,068","1,058","1,053"
1,"1,207","1,230","1,195","1,202","1,201","1,192","1,192","1,186","1,186","1,182","1,179","1,172","1,164","1,158","1,156","1,145","1,141","1,131","1,122","1,117","1,109","1,106","1,101","1,095","1,095","1,085"
2,"1,323","1,226","1,250","1,211","1,217","1,216","1,207","1,207","1,201","1,200","1,197","1,193","1,186","1,178","1,173","1,171","1,160","1,155","1,146","1,136","1,131","1,123","1,120","1,115","1,109","1,109"
3,"1,331","1,334","1,238","1,262","1,222","1,226","1,226","1,217","1,217","1,211","1,210","1,207","1,203","1,196","1,188","1,183","1,181","1,170","1,166","1,157","1,146","1,141","1,133","1,130","1,125","1,119"
4,"1,373","1,346","1,347","1,254","1,275","1,238","1,240","1,241","1,232","1,232","1,226","1,225","1,222","1,218","1,211","1,203","1,198","1,196","1,185","1,181","1,172","1,161","1,156","1,148","1,145","1,140"
5,"1,349","1,379","1,356","1,356","1,262","1,283","1,244","1,246","1,248","1,239","1,239","1,233","1,232","1,229","1,225","1,218","1,210","1,205","1,203","1,192","1,188","1,179","1,168","1,163","1,155","1,152"
6,"1,477","1,347","1,378","1,356","1,356","1,262","1,284","1,245","1,247","1,249","1,240","1,240","1,234","1,233","1,230","1,226","1,219","1,211","1,206","1,204","1,193","1,189","1,180","1,169","1,164","1,156"
7,"1,554","1,483","1,353","1,382","1,361","1,361","1,265","1,288","1,249","1,251","1,253","1,244","1,244","1,238","1,237","1,234","1,230","1,223","1,215","1,210","1,208","1,197","1,193","1,184","1,173","1,168"
8,"1,411","1,555","1,484","1,354","1,381","1,359","1,360","1,265","1,288","1,249","1,251","1,253","1,244","1,244","1,238","1,237","1,234","1,230","1,223","1,215","1,210","1,208","1,197","1,193","1,184","1,173"
9,"1,567","1,426","1,572","1,499","1,368","1,393","1,371","1,372","1,277","1,299","1,260","1,262","1,264","1,255","1,255","1,249","1,248","1,245","1,241","1,234","1,226","1,221","1,219","1,208","1,204","1,195"
10,"1,501","1,573","1,431","1,578","1,503","1,375","1,399","1,377","1,378","1,283","1,305","1,266","1,268","1,270","1,261","1,261","1,255","1,254","1,251","1,247","1,240","1,232","1,227","1,225","1,214","1,210"
11,"1,566","1,509","1,583","1,437","1,583","1,505","1,379","1,402","1,381","1,382","1,286","1,308","1,269","1,271","1,273","1,264","1,264","1,258","1,257","1,254","1,250","1,243","1,235","1,230","1,228","1,217"
12,"1,537","1,567","1,512","1,585","1,438","1,585","1,504","1,380","1,403","1,382","1,383","1,287","1,309","1,270","1,272","1,274","1,265","1,265","1,259","1,258","1,255","1,251","1,244","1,236","1,231","1,229"
13,"1,489","1,536","1,564","1,513","1,585","1,439","1,586","1,505","1,381","1,404","1,383","1,384","1,288","1,310","1,271","1,273","1,275","1,266","1,266","1,260","1,259","1,256","1,252","1,245","1,237","1,232"
14,"1,427","1,483","1,526","1,555","1,507","1,575","1,430","1,577","1,496","1,372","1,395","1,374","1,375","1,279","1,301","1,262","1,264","1,266","1,257","1,257","1,251","1,250","1,247","1,243","1,236","1,228"
15,"1,460","1,424","1,481","1,521","1,549","1,503","1,571","1,426","1,572","1,492","1,368","1,391","1,370","1,371","1,275","1,297","1,258","1,260","1,262","1,253","1,253","1,247","1,246","1,243","1,239","1,232"
16,"1,396","1,449","1,419","1,474","1,511","1,539","1,493","1,564","1,418","1,564","1,484","1,360","1,383","1,362","1,363","1,267","1,289","1,250","1,252","1,254","1,245","1,245","1,239","1,238","1,235","1,231"
17,"1,506","1,400","1,453","1,423","1,479","1,514","1,543","1,499","1,570","1,424","1,570","1,490","1,366","1,389","1,368","1,369","1,273","1,295","1,256","1,257","1,260","1,250","1,250","1,244","1,243","1,240"
18,"1,435","1,445","1,350","1,398","1,370","1,425","1,458","1,487","1,444","1,515","1,372","1,515","1,437","1,315","1,337","1,317","1,318","1,222","1,244","1,205","1,207","1,210","1,200","1,200","1,194","1,193"
19,"1,464","1,363","1,377","1,284","1,333","1,304","1,359","1,392","1,418","1,378","1,446","1,308","1,446","1,370","1,254","1,275","1,258","1,258","1,165","1,186","1,147","1,150","1,152","1,143","1,142","1,137"
20,"1,562","1,460","1,358","1,373","1,282","1,327","1,300","1,356","1,391","1,417","1,377","1,444","1,307","1,445","1,370","1,252","1,275","1,258","1,258","1,164","1,185","1,146","1,148","1,150","1,141","1,140"
21,"1,610","1,561","1,465","1,366","1,379","1,290","1,333","1,306","1,363","1,397","1,422","1,384","1,450","1,315","1,451","1,377","1,260","1,283","1,267","1,267","1,174","1,194","1,155","1,158","1,159","1,150"
22,"1,568","1,617","1,567","1,472","1,368","1,382","1,293","1,332","1,306","1,362","1,397","1,422","1,385","1,453","1,318","1,451","1,380","1,266","1,286","1,271","1,271","1,177","1,198","1,158","1,161","1,162"
23,"1,664","1,562","1,612","1,561","1,471","1,367","1,379","1,291","1,329","1,307","1,361","1,396","1,420","1,385","1,452","1,320","1,451","1,381","1,269","1,288","1,275","1,275","1,182","1,201","1,162","1,165"
24,"1,671","1,630","1,534","1,588","1,540","1,452","1,346","1,358","1,272","1,309","1,288","1,340","1,375","1,399","1,363","1,431","1,301","1,431","1,363","1,250","1,268","1,256","1,256","1,164","1,182","1,145"
25,"1,556","1,651","1,615","1,521","1,577","1,525","1,441","1,335","1,345","1,260","1,295","1,277","1,327","1,361","1,385","1,352","1,418","1,292","1,419","1,354","1,241","1,258","1,248","1,248","1,156","1,173"
