"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"340,180","340,363","340,544","340,734","340,882","341,013","341,134","341,204","341,224","341,242","341,174","341,101","341,008","340,900","340,738","340,516","340,294","340,046","339,770","339,474","339,164","338,824","338,453","338,079","337,646","337,166"
0,"3,508","3,334","3,359","3,335","3,308","3,296","3,292","3,283","3,276","3,266","3,258","3,254","3,251","3,245","3,238","3,235","3,231","3,226","3,228","3,230","3,232","3,238","3,238","3,234","3,226","3,218"
1,"3,488","3,535","3,365","3,393","3,369","3,337","3,328","3,323","3,315","3,307","3,297","3,289","3,285","3,282","3,276","3,269","3,266","3,262","3,257","3,259","3,261","3,263","3,269","3,269","3,265","3,257"
2,"3,773","3,508","3,545","3,380","3,404","3,385","3,352","3,341","3,337","3,329","3,321","3,311","3,303","3,299","3,296","3,290","3,283","3,280","3,276","3,271","3,273","3,275","3,277","3,283","3,283","3,279"
3,"3,791","3,788","3,532","3,563","3,396","3,424","3,406","3,374","3,363","3,359","3,351","3,343","3,333","3,325","3,321","3,318","3,312","3,305","3,302","3,298","3,293","3,295","3,297","3,299","3,305","3,305"
4,"3,769","3,809","3,804","3,551","3,578","3,411","3,438","3,419","3,386","3,376","3,372","3,364","3,355","3,345","3,338","3,334","3,331","3,325","3,317","3,315","3,311","3,306","3,308","3,309","3,312","3,318"
5,"3,891","3,782","3,823","3,818","3,568","3,591","3,425","3,455","3,436","3,403","3,393","3,389","3,381","3,372","3,362","3,355","3,351","3,348","3,342","3,334","3,332","3,328","3,323","3,325","3,326","3,329"
6,"3,998","3,910","3,803","3,843","3,835","3,592","3,610","3,446","3,475","3,457","3,424","3,414","3,410","3,402","3,393","3,383","3,376","3,372","3,369","3,363","3,355","3,353","3,349","3,344","3,346","3,347"
7,"4,115","3,996","3,910","3,804","3,844","3,838","3,595","3,612","3,448","3,478","3,460","3,427","3,417","3,413","3,405","3,396","3,386","3,379","3,375","3,372","3,366","3,358","3,356","3,352","3,347","3,349"
8,"4,056","4,123","4,007","3,922","3,813","3,854","3,846","3,605","3,619","3,458","3,487","3,469","3,436","3,426","3,422","3,414","3,405","3,395","3,388","3,384","3,381","3,375","3,367","3,365","3,361","3,356"
9,"4,218","4,068","4,136","4,024","3,934","3,828","3,869","3,857","3,619","3,629","3,468","3,497","3,479","3,446","3,436","3,432","3,424","3,415","3,405","3,398","3,394","3,391","3,385","3,377","3,375","3,371"
10,"4,230","4,230","4,078","4,150","4,039","3,949","3,847","3,884","3,872","3,633","3,642","3,480","3,508","3,491","3,458","3,447","3,444","3,436","3,427","3,417","3,410","3,406","3,403","3,397","3,389","3,386"
11,"4,103","4,223","4,222","4,071","4,149","4,036","3,944","3,843","3,879","3,867","3,629","3,636","3,477","3,505","3,488","3,455","3,444","3,441","3,433","3,424","3,414","3,407","3,403","3,400","3,394","3,386"
12,"4,007","4,112","4,235","4,234","4,088","4,169","4,052","3,962","3,862","3,896","3,882","3,646","3,650","3,492","3,519","3,502","3,469","3,458","3,455","3,447","3,438","3,428","3,421","3,417","3,414","3,408"
13,"4,055","4,028","4,128","4,255","4,253","4,105","4,192","4,077","3,985","3,885","3,919","3,903","3,668","3,672","3,514","3,540","3,523","3,490","3,479","3,477","3,469","3,460","3,450","3,443","3,438","3,435"
14,"4,049","4,068","4,045","4,145","4,271","4,274","4,123","4,210","4,095","4,002","3,902","3,936","3,918","3,683","3,687","3,528","3,554","3,537","3,504","3,493","3,491","3,483","3,474","3,464","3,458","3,453"
15,"3,904","4,051","4,065","4,048","4,148","4,276","4,279","4,129","4,217","4,101","4,008","3,908","3,942","3,924","3,688","3,691","3,533","3,560","3,542","3,509","3,499","3,497","3,489","3,480","3,469","3,464"
16,"3,786","3,900","4,049","4,063","4,047","4,151","4,279","4,281","4,130","4,220","4,105","4,010","3,910","3,944","3,926","3,690","3,692","3,535","3,562","3,544","3,511","3,501","3,499","3,491","3,482","3,471"
17,"3,895","3,781","3,891","4,042","4,058","4,044","4,145","4,273","4,277","4,126","4,221","4,104","4,008","3,908","3,941","3,922","3,689","3,688","3,531","3,559","3,540","3,508","3,499","3,497","3,489","3,479"
18,"3,836","3,820","3,702","3,814","3,969","3,979","3,967","4,071","4,198","4,202","4,051","4,151","4,034","3,936","3,838","3,870","3,852","3,622","3,618","3,464","3,492","3,474","3,442","3,432","3,430","3,422"
19,"4,125","3,725","3,712","3,591","3,703","3,856","3,870","3,858","3,961","4,089","4,086","3,940","4,045","3,929","3,831","3,734","3,766","3,747","3,519","3,515","3,363","3,394","3,376","3,344","3,335","3,333"
20,"3,991","4,126","3,727","3,712","3,592","3,702","3,852","3,866","3,856","3,962","4,093","4,088","3,940","4,051","3,932","3,834","3,735","3,768","3,748","3,520","3,515","3,362","3,394","3,376","3,343","3,335"
21,"4,290","4,025","4,160","3,770","3,750","3,631","3,739","3,888","3,904","3,893","4,003","4,136","4,130","3,979","4,096","3,976","3,876","3,775","3,810","3,790","3,561","3,555","3,400","3,433","3,414","3,382"
22,"4,116","4,291","4,028","4,162","3,775","3,750","3,636","3,742","3,889","3,907","3,896","4,007","4,139","4,134","3,983","4,104","3,985","3,885","3,786","3,820","3,801","3,574","3,566","3,411","3,444","3,425"
23,"4,054","4,113","4,279","4,024","4,153","3,774","3,740","3,631","3,732","3,877","3,898","3,889","3,999","4,130","4,128","3,978","4,102","3,985","3,884","3,785","3,818","3,799","3,575","3,565","3,410","3,444"
24,"4,121","4,053","4,111","4,277","4,034","4,162","3,786","3,749","3,639","3,739","3,885","3,906","3,895","4,005","4,140","4,138","3,988","4,112","3,996","3,897","3,798","3,829","3,810","3,589","3,577","3,422"
25,"4,181","4,099","4,029","4,092","4,246","4,014","4,139","3,766","3,726","3,617","3,713","3,858","3,880","3,871","3,978","4,114","4,113","3,966","4,092","3,978","3,878","3,781","3,812","3,792","3,574","3,563"
