"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth & Kinross,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"151,290","151,765","152,127","152,382","152,540","152,692","152,801","152,840","152,843","152,826","152,779","152,676","152,554","152,411","152,248","152,066","151,878","151,662","151,439","151,226","151,000","150,773","150,528","150,290","150,048","149,771"
0,"1,239","1,201","1,208","1,195","1,185","1,179","1,170","1,164","1,149","1,136","1,129","1,122","1,111","1,099","1,095","1,088","1,085","1,082","1,080","1,076","1,079","1,078","1,085","1,086","1,088","1,086"
1,"1,269","1,270","1,232","1,238","1,222","1,212","1,208","1,199","1,193","1,178","1,165","1,158","1,151","1,140","1,128","1,124","1,117","1,114","1,111","1,109","1,105","1,108","1,107","1,114","1,115","1,117"
2,"1,413","1,301","1,302","1,260","1,266","1,251","1,239","1,235","1,226","1,220","1,205","1,191","1,185","1,177","1,166","1,154","1,150","1,143","1,140","1,138","1,136","1,132","1,135","1,134","1,141","1,142"
3,"1,518","1,435","1,325","1,321","1,275","1,281","1,265","1,253","1,250","1,241","1,235","1,220","1,205","1,199","1,191","1,180","1,168","1,164","1,157","1,154","1,153","1,151","1,147","1,150","1,148","1,155"
4,"1,458","1,546","1,458","1,353","1,343","1,296","1,303","1,287","1,275","1,272","1,263","1,257","1,242","1,227","1,221","1,213","1,202","1,190","1,186","1,179","1,176","1,175","1,173","1,169","1,172","1,170"
5,"1,516","1,482","1,568","1,480","1,373","1,361","1,314","1,320","1,305","1,293","1,290","1,280","1,274","1,259","1,244","1,238","1,230","1,219","1,207","1,203","1,196","1,193","1,192","1,190","1,186","1,189"
6,"1,565","1,535","1,501","1,588","1,499","1,392","1,378","1,331","1,337","1,322","1,310","1,307","1,297","1,291","1,276","1,261","1,255","1,247","1,236","1,224","1,220","1,213","1,210","1,209","1,207","1,203"
7,"1,633","1,592","1,561","1,525","1,609","1,520","1,414","1,399","1,351","1,358","1,343","1,330","1,327","1,317","1,311","1,296","1,281","1,275","1,267","1,256","1,244","1,240","1,233","1,230","1,229","1,227"
8,"1,567","1,648","1,604","1,571","1,536","1,622","1,531","1,425","1,410","1,363","1,369","1,355","1,342","1,338","1,328","1,322","1,307","1,292","1,286","1,278","1,267","1,255","1,251","1,244","1,241","1,240"
9,"1,675","1,594","1,677","1,632","1,601","1,564","1,647","1,556","1,451","1,436","1,389","1,393","1,379","1,366","1,362","1,352","1,346","1,331","1,316","1,310","1,302","1,291","1,279","1,275","1,268","1,265"
10,"1,622","1,697","1,615","1,697","1,652","1,619","1,583","1,665","1,575","1,470","1,454","1,407","1,411","1,397","1,384","1,380","1,370","1,364","1,349","1,334","1,328","1,320","1,309","1,297","1,293","1,286"
11,"1,616","1,655","1,730","1,647","1,727","1,685","1,650","1,613","1,695","1,605","1,500","1,483","1,436","1,440","1,426","1,413","1,409","1,399","1,393","1,378","1,362","1,356","1,348","1,337","1,325","1,321"
12,"1,480","1,638","1,677","1,754","1,671","1,751","1,709","1,673","1,636","1,718","1,628","1,522","1,505","1,458","1,461","1,448","1,434","1,430","1,420","1,414","1,399","1,383","1,377","1,368","1,357","1,345"
13,"1,633","1,499","1,658","1,697","1,774","1,694","1,770","1,729","1,692","1,655","1,736","1,646","1,541","1,524","1,475","1,478","1,465","1,451","1,447","1,437","1,431","1,416","1,400","1,394","1,385","1,374"
14,"1,603","1,670","1,536","1,692","1,734","1,811","1,730","1,805","1,763","1,727","1,689","1,769","1,679","1,575","1,558","1,508","1,511","1,498","1,484","1,480","1,470","1,464","1,449","1,434","1,428","1,419"
15,"1,618","1,621","1,685","1,556","1,709","1,752","1,826","1,746","1,819","1,779","1,742","1,704","1,784","1,694","1,590","1,574","1,524","1,526","1,513","1,499","1,495","1,485","1,479","1,464","1,449","1,443"
16,"1,587","1,631","1,629","1,691","1,559","1,713","1,758","1,830","1,750","1,823","1,784","1,746","1,708","1,788","1,698","1,594","1,577","1,526","1,528","1,515","1,501","1,497","1,487","1,481","1,466","1,451"
17,"1,735","1,565","1,614","1,613","1,675","1,544","1,692","1,738","1,809","1,730","1,803","1,763","1,725","1,688","1,768","1,678","1,575","1,558","1,507","1,510","1,497","1,483","1,479","1,469","1,463","1,448"
18,"1,648","1,584","1,425","1,472","1,470","1,524","1,408","1,538","1,583","1,646","1,575","1,641","1,603","1,567","1,538","1,609","1,525","1,433","1,417","1,368","1,373","1,360","1,347","1,344","1,334","1,328"
19,"1,455","1,451","1,377","1,243","1,281","1,287","1,328","1,227","1,340","1,384","1,434","1,375","1,432","1,397","1,366","1,343","1,402","1,326","1,248","1,235","1,193","1,199","1,187","1,174","1,174","1,164"
20,"1,442","1,458","1,442","1,373","1,242","1,273","1,281","1,321","1,221","1,334","1,378","1,424","1,369","1,424","1,392","1,361","1,340","1,395","1,323","1,247","1,233","1,193","1,197","1,185","1,172","1,172"
21,"1,452","1,480","1,482","1,458","1,392","1,264","1,296","1,303","1,341","1,247","1,358","1,403","1,449","1,393","1,449","1,417","1,386","1,367","1,419","1,347","1,274","1,259","1,219","1,224","1,212","1,199"
22,"1,557","1,507","1,530","1,522","1,491","1,432","1,308","1,333","1,341","1,380","1,292","1,399","1,445","1,488","1,435","1,492","1,460","1,426","1,409","1,458","1,387","1,315","1,298","1,258","1,263","1,251"
23,"1,516","1,586","1,534","1,553","1,545","1,503","1,442","1,325","1,348","1,355","1,395","1,310","1,416","1,464","1,505","1,455","1,510","1,479","1,446","1,428","1,475","1,405","1,334","1,317","1,277","1,282"
24,"1,743","1,525","1,600","1,552","1,563","1,552","1,506","1,448","1,336","1,358","1,365","1,405","1,322","1,426","1,474","1,515","1,467","1,522","1,489","1,457","1,442","1,486","1,416","1,348","1,332","1,291"
25,"1,811","1,716","1,511","1,583","1,535","1,548","1,529","1,480","1,428","1,322","1,343","1,351","1,390","1,311","1,412","1,461","1,499","1,452","1,508","1,476","1,443","1,428","1,471","1,403","1,337","1,321"
