"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"177,790","178,294","178,766","179,276","179,761","180,266","180,689","181,091","181,502","181,870","182,256","182,597","182,930","183,199","183,460","183,720","183,922","184,111","184,306","184,472","184,662","184,817","184,976","185,098","185,239","185,360"
0,"1,754","1,640","1,667","1,670","1,671","1,675","1,679","1,681","1,685","1,676","1,675","1,671","1,660","1,652","1,646","1,648","1,637","1,635","1,633","1,632","1,641","1,645","1,649","1,651","1,654","1,657"
1,"1,773","1,751","1,648","1,675","1,678","1,676","1,682","1,685","1,687","1,691","1,682","1,681","1,677","1,666","1,658","1,652","1,654","1,643","1,641","1,639","1,638","1,647","1,651","1,655","1,657","1,660"
2,"1,815","1,797","1,775","1,673","1,701","1,704","1,702","1,709","1,712","1,714","1,718","1,709","1,708","1,704","1,693","1,685","1,679","1,681","1,670","1,668","1,666","1,665","1,674","1,678","1,682","1,684"
3,"1,786","1,826","1,811","1,785","1,682","1,709","1,714","1,711","1,718","1,721","1,723","1,727","1,718","1,717","1,713","1,702","1,694","1,688","1,690","1,679","1,677","1,675","1,674","1,683","1,687","1,691"
4,"1,894","1,790","1,832","1,816","1,791","1,690","1,714","1,720","1,718","1,725","1,728","1,730","1,734","1,725","1,724","1,720","1,709","1,701","1,695","1,697","1,686","1,684","1,682","1,681","1,690","1,694"
5,"1,976","1,900","1,797","1,836","1,820","1,794","1,695","1,718","1,723","1,721","1,728","1,731","1,733","1,737","1,728","1,727","1,723","1,712","1,704","1,698","1,700","1,689","1,687","1,685","1,684","1,693"
6,"1,983","1,991","1,915","1,812","1,851","1,831","1,805","1,707","1,731","1,736","1,734","1,741","1,744","1,746","1,750","1,741","1,740","1,736","1,725","1,717","1,711","1,713","1,702","1,700","1,698","1,697"
7,"2,001","1,996","2,001","1,923","1,825","1,860","1,840","1,813","1,715","1,739","1,744","1,742","1,749","1,752","1,754","1,758","1,749","1,748","1,744","1,733","1,725","1,719","1,721","1,710","1,708","1,706"
8,"1,898","2,016","2,013","2,016","1,935","1,841","1,875","1,854","1,825","1,727","1,751","1,756","1,754","1,762","1,764","1,766","1,771","1,762","1,761","1,757","1,746","1,738","1,732","1,734","1,723","1,721"
9,"1,909","1,894","2,017","2,011","2,013","1,932","1,838","1,873","1,851","1,822","1,723","1,748","1,752","1,750","1,759","1,760","1,762","1,767","1,759","1,758","1,753","1,742","1,734","1,728","1,730","1,719"
10,"2,009","1,923","1,908","2,030","2,024","2,027","1,945","1,852","1,887","1,864","1,836","1,736","1,761","1,765","1,763","1,772","1,773","1,775","1,780","1,772","1,771","1,766","1,755","1,747","1,741","1,743"
11,"1,879","2,020","1,931","1,917","2,039","2,037","2,038","1,955","1,863","1,898","1,874","1,845","1,746","1,771","1,775","1,773","1,782","1,783","1,785","1,790","1,782","1,781","1,776","1,765","1,757","1,751"
12,"1,937","1,883","2,025","1,936","1,923","2,047","2,042","2,043","1,960","1,868","1,903","1,879","1,849","1,750","1,775","1,779","1,777","1,786","1,787","1,789","1,794","1,786","1,785","1,780","1,769","1,761"
13,"1,906","1,949","1,896","2,033","1,946","1,933","2,058","2,052","2,053","1,970","1,878","1,913","1,888","1,858","1,759","1,784","1,788","1,786","1,795","1,796","1,798","1,803","1,795","1,794","1,789","1,778"
14,"1,854","1,924","1,969","1,919","2,057","1,969","1,953","2,080","2,074","2,075","1,992","1,901","1,935","1,911","1,879","1,781","1,806","1,810","1,808","1,817","1,818","1,820","1,825","1,817","1,816","1,811"
15,"1,797","1,865","1,933","1,977","1,929","2,068","1,981","1,963","2,092","2,085","2,085","2,003","1,912","1,946","1,922","1,889","1,791","1,816","1,820","1,818","1,827","1,828","1,830","1,835","1,827","1,826"
16,"1,815","1,802","1,870","1,938","1,978","1,935","2,072","1,985","1,967","2,096","2,089","2,088","2,006","1,916","1,949","1,926","1,892","1,795","1,820","1,824","1,822","1,831","1,832","1,834","1,839","1,831"
17,"1,918","1,805","1,794","1,860","1,928","1,969","1,926","2,063","1,976","1,958","2,089","2,082","2,078","1,997","1,907","1,940","1,917","1,882","1,785","1,810","1,814","1,812","1,821","1,822","1,824","1,829"
18,"1,902","1,869","1,759","1,753","1,817","1,885","1,922","1,880","2,015","1,931","1,913","2,041","2,034","2,029","1,952","1,862","1,895","1,871","1,834","1,741","1,765","1,769","1,767","1,776","1,777","1,779"
19,"1,893","1,835","1,797","1,687","1,685","1,747","1,815","1,846","1,809","1,937","1,859","1,838","1,964","1,955","1,949","1,876","1,792","1,823","1,796","1,762","1,673","1,697","1,702","1,700","1,708","1,709"
20,"2,017","1,933","1,867","1,833","1,717","1,726","1,779","1,846","1,879","1,843","1,973","1,894","1,874","2,000","1,991","1,984","1,910","1,828","1,859","1,830","1,796","1,706","1,732","1,737","1,734","1,742"
21,"2,156","2,084","2,002","1,931","1,896","1,778","1,790","1,844","1,910","1,943","1,909","2,038","1,961","1,940","2,066","2,058","2,050","1,975","1,896","1,926","1,895","1,861","1,771","1,797","1,802","1,799"
22,"2,112","2,207","2,131","2,053","1,981","1,942","1,827","1,836","1,891","1,957","1,989","1,957","2,088","2,013","1,993","2,119","2,112","2,102","2,027","1,948","1,979","1,946","1,912","1,821","1,848","1,853"
23,"2,147","2,132","2,218","2,144","2,070","1,998","1,955","1,839","1,849","1,904","1,970","2,002","1,972","2,102","2,030","2,010","2,134","2,126","2,115","2,042","1,964","1,994","1,962","1,925","1,836","1,864"
24,"2,256","2,167","2,150","2,240","2,168","2,091","2,018","1,975","1,858","1,868","1,921","1,986","2,020","1,991","2,117","2,052","2,030","2,154","2,145","2,133","2,065","1,986","2,012","1,983","1,944","1,860"
25,"2,303","2,267","2,177","2,161","2,250","2,178","2,099","2,027","1,983","1,867","1,877","1,929","1,994","2,026","2,002","2,125","2,064","2,041","2,162","2,154","2,142","2,073","1,997","2,022","1,993","1,953"
