"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"5,438,100","5,452,444","5,464,679","5,475,660","5,485,890","5,495,578","5,504,866","5,513,731","5,522,085","5,529,888","5,537,116","5,543,666","5,549,510","5,554,680","5,559,154","5,562,901","5,565,969","5,568,456","5,570,442","5,571,993","5,573,181","5,574,058","5,574,675","5,575,012","5,575,078","5,574,819"
0,"52,310","50,654","51,234","51,102","50,892","50,782","50,772","50,711","50,594","50,446","50,272","50,108","49,949","49,810","49,698","49,616","49,558","49,544","49,596","49,709","49,867","50,039","50,163","50,234","50,267","50,245"
1,"53,852","52,617","50,953","51,512","51,380","51,173","51,060","51,052","50,991","50,874","50,728","50,554","50,390","50,230","50,095","49,981","49,899","49,840","49,827","49,881","49,995","50,153","50,326","50,451","50,521","50,555"
2,"56,084","54,179","52,935","51,247","51,806","51,674","51,466","51,352","51,344","51,283","51,167","51,020","50,848","50,681","50,525","50,388","50,273","50,190","50,133","50,120","50,174","50,288","50,448","50,620","50,746","50,818"
3,"57,065","56,348","54,436","53,168","51,476","52,032","51,900","51,692","51,578","51,571","51,510","51,394","51,249","51,076","50,909","50,753","50,615","50,500","50,417","50,360","50,347","50,400","50,516","50,676","50,848","50,976"
4,"57,551","57,306","56,585","54,645","53,376","51,683","52,237","52,105","51,896","51,782","51,775","51,714","51,599","51,454","51,281","51,115","50,959","50,821","50,705","50,622","50,565","50,552","50,605","50,721","50,882","51,054"
5,"58,712","57,776","57,525","56,780","54,837","53,566","51,870","52,425","52,293","52,083","51,971","51,963","51,903","51,788","51,642","51,470","51,303","51,147","51,010","50,892","50,809","50,752","50,739","50,793","50,908","51,071"
6,"60,252","58,919","57,978","57,703","56,957","55,012","53,740","52,042","52,597","52,464","52,256","52,143","52,135","52,075","51,960","51,812","51,641","51,474","51,317","51,180","51,063","50,978","50,922","50,910","50,964","51,080"
7,"62,094","60,451","59,114","58,150","57,875","57,128","55,179","53,905","52,206","52,759","52,627","52,417","52,305","52,298","52,238","52,123","51,974","51,804","51,637","51,480","51,342","51,225","51,141","51,086","51,074","51,128"
8,"59,207","62,294","60,648","59,290","58,324","58,049","57,300","55,351","54,072","52,371","52,922","52,791","52,582","52,469","52,462","52,402","52,288","52,140","51,969","51,802","51,643","51,506","51,389","51,305","51,250","51,236"
9,"60,824","59,407","62,493","60,831","59,471","58,504","58,227","57,477","55,528","54,246","52,542","53,091","52,961","52,751","52,639","52,632","52,572","52,458","52,309","52,138","51,970","51,810","51,673","51,556","51,473","51,417"
10,"60,578","61,010","59,589","62,663","61,001","59,639","58,673","58,394","57,643","55,691","54,408","52,699","53,248","53,120","52,907","52,796","52,790","52,730","52,615","52,466","52,295","52,126","51,968","51,830","51,711","51,629"
11,"58,240","60,746","61,178","59,743","62,815","61,156","59,792","58,824","58,545","57,793","55,839","54,553","52,844","53,392","53,262","53,051","52,937","52,932","52,872","52,757","52,609","52,436","52,268","52,110","51,972","51,854"
12,"57,028","58,389","60,896","61,316","59,880","62,955","61,296","59,929","58,961","58,680","57,929","55,973","54,686","52,975","53,522","53,393","53,181","53,068","53,064","53,004","52,888","52,739","52,565","52,399","52,240","52,101"
13,"56,549","57,172","58,530","61,029","61,450","60,015","63,090","61,431","60,064","59,094","58,812","58,060","56,104","54,815","53,101","53,649","53,519","53,308","53,195","53,191","53,131","53,015","52,867","52,694","52,527","52,368"
14,"55,395","56,696","57,319","58,666","61,167","61,590","60,156","63,232","61,573","60,205","59,235","58,950","58,198","56,243","54,952","53,236","53,782","53,655","53,442","53,328","53,324","53,264","53,148","53,001","52,828","52,661"
15,"53,761","55,548","56,847","57,463","58,813","61,314","61,739","60,304","63,382","61,725","60,354","59,383","59,098","58,347","56,389","55,095","53,379","53,925","53,798","53,585","53,471","53,467","53,407","53,292","53,144","52,972"
16,"53,470","53,911","55,697","56,990","57,606","58,957","61,460","61,887","60,451","63,529","61,873","60,501","59,529","59,245","58,495","56,535","55,239","53,523","54,068","53,941","53,728","53,615","53,612","53,551","53,436","53,287"
17,"55,826","53,641","54,078","55,857","57,151","57,768","59,121","61,625","62,053","60,620","63,696","62,042","60,670","59,697","59,414","58,662","56,702","55,405","53,688","54,232","54,105","53,893","53,780","53,777","53,716","53,600"
18,"57,923","56,309","54,115","54,540","56,321","57,620","58,242","59,600","62,108","62,543","61,112","64,186","62,540","61,164","60,187","59,901","59,148","57,184","55,882","54,161","54,702","54,574","54,364","54,249","54,246","54,184"
19,"63,584","59,811","58,136","55,907","56,304","58,095","59,421","60,064","61,439","63,977","64,454","63,027","66,087","64,478","63,078","62,076","61,775","61,018","59,036","57,701","55,959","56,475","56,354","56,140","56,021","56,015"
20,"66,553","66,069","62,231","60,505","58,236","58,624","60,439","61,797","62,462","63,863","66,453","66,955","65,510","68,602","66,992","65,559","64,535","64,223","63,453","61,437","60,072","58,296","58,807","58,687","58,469","58,348"
21,"69,638","68,083","67,580","63,708","61,966","59,682","60,068","61,894","63,266","63,939","65,351","67,962","68,473","67,020","70,129","68,515","67,070","66,038","65,723","64,946","62,916","61,539","59,748","60,261","60,142","59,921"
22,"70,320","70,572","68,997","68,486","64,609","62,864","60,576","60,965","62,793","64,168","64,844","66,258","68,876","69,386","67,931","71,044","69,429","67,983","66,947","66,634","65,855","63,823","62,442","60,648","61,163","61,043"
23,"71,115","70,942","71,172","69,590","69,084","65,211","63,479","61,197","61,592","63,419","64,790","65,461","66,870","69,484","69,987","68,529","71,647","70,022","68,583","67,549","67,239","66,465","64,438","63,061","61,272","61,795"
24,"72,998","71,420","71,228","71,451","69,876","69,377","65,520","63,804","61,535","61,937","63,757","65,119","65,779","67,181","69,783","70,275","68,821","71,932","70,303","68,875","67,848","67,544","66,773","64,760","63,392","61,615"
25,"74,452","73,140","71,545","71,348","71,573","70,005","69,507","65,666","63,959","61,702","62,104","63,919","65,275","65,928","67,326","69,918","70,405","68,955","72,057","70,429","69,009","67,986","67,687","66,919","64,913","63,554"
