"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"115,270","115,372","115,472","115,588","115,769","115,873","115,985","116,113","116,253","116,344","116,435","116,502","116,553","116,582","116,582","116,554","116,513","116,476","116,428","116,353","116,306","116,266","116,229","116,194","116,162","116,138"
0,"1,017",949,961,957,959,956,962,968,976,979,979,979,982,980,985,988,986,988,988,993,998,997,"1,002","1,006","1,004","1,008"
1,"1,015","1,049",979,992,991,993,988,994,"1,000","1,008","1,011","1,011","1,011","1,014","1,012","1,017","1,020","1,018","1,020","1,020","1,025","1,030","1,029","1,034","1,039","1,036"
2,"1,127","1,040","1,070","1,000","1,013","1,009","1,013","1,009","1,015","1,020","1,029","1,032","1,032","1,032","1,035","1,033","1,038","1,041","1,039","1,041","1,041","1,046","1,051","1,050","1,055","1,060"
3,"1,100","1,144","1,055","1,084","1,013","1,026","1,023","1,028","1,024","1,030","1,035","1,044","1,047","1,047","1,047","1,050","1,048","1,053","1,056","1,054","1,056","1,056","1,061","1,066","1,065","1,070"
4,"1,227","1,115","1,161","1,067","1,095","1,025","1,038","1,035","1,040","1,036","1,042","1,047","1,056","1,059","1,059","1,059","1,062","1,060","1,065","1,068","1,066","1,068","1,068","1,073","1,078","1,077"
5,"1,270","1,236","1,124","1,171","1,079","1,105","1,034","1,048","1,045","1,050","1,046","1,052","1,057","1,066","1,069","1,069","1,069","1,072","1,070","1,075","1,078","1,076","1,078","1,078","1,083","1,088"
6,"1,236","1,276","1,243","1,132","1,178","1,086","1,111","1,041","1,055","1,052","1,057","1,053","1,059","1,064","1,073","1,076","1,076","1,076","1,079","1,077","1,082","1,085","1,083","1,085","1,085","1,090"
7,"1,254","1,245","1,281","1,249","1,138","1,182","1,091","1,114","1,044","1,057","1,054","1,059","1,055","1,061","1,066","1,075","1,078","1,078","1,078","1,081","1,079","1,084","1,087","1,085","1,087","1,087"
8,"1,183","1,279","1,273","1,310","1,275","1,165","1,209","1,119","1,141","1,070","1,083","1,080","1,085","1,081","1,087","1,092","1,101","1,104","1,104","1,104","1,107","1,105","1,110","1,113","1,111","1,113"
9,"1,262","1,196","1,289","1,287","1,321","1,286","1,179","1,223","1,134","1,154","1,083","1,096","1,093","1,098","1,094","1,100","1,105","1,114","1,117","1,117","1,117","1,120","1,118","1,123","1,126","1,124"
10,"1,262","1,265","1,202","1,295","1,295","1,329","1,293","1,189","1,233","1,143","1,164","1,092","1,106","1,103","1,108","1,104","1,110","1,115","1,124","1,127","1,127","1,127","1,130","1,128","1,133","1,136"
11,"1,226","1,269","1,270","1,207","1,300","1,299","1,332","1,297","1,193","1,237","1,148","1,168","1,096","1,110","1,107","1,112","1,108","1,114","1,119","1,128","1,131","1,131","1,131","1,134","1,132","1,137"
12,"1,238","1,234","1,278","1,280","1,220","1,308","1,311","1,342","1,306","1,204","1,247","1,159","1,179","1,107","1,120","1,118","1,123","1,119","1,125","1,130","1,139","1,142","1,142","1,142","1,145","1,143"
13,"1,255","1,240","1,238","1,281","1,285","1,225","1,313","1,315","1,346","1,310","1,209","1,251","1,164","1,183","1,111","1,124","1,122","1,127","1,123","1,129","1,134","1,143","1,146","1,146","1,146","1,149"
14,"1,232","1,249","1,236","1,234","1,279","1,283","1,223","1,310","1,313","1,343","1,307","1,208","1,248","1,162","1,180","1,109","1,122","1,120","1,125","1,121","1,127","1,132","1,141","1,144","1,144","1,144"
15,"1,142","1,236","1,254","1,241","1,239","1,283","1,289","1,228","1,316","1,317","1,348","1,312","1,213","1,253","1,167","1,184","1,112","1,127","1,125","1,130","1,126","1,132","1,137","1,146","1,149","1,149"
16,"1,191","1,145","1,239","1,259","1,246","1,243","1,289","1,294","1,233","1,321","1,322","1,353","1,316","1,218","1,258","1,173","1,190","1,117","1,133","1,131","1,136","1,132","1,138","1,143","1,152","1,155"
17,"1,197","1,193","1,149","1,242","1,265","1,249","1,246","1,293","1,298","1,239","1,325","1,325","1,355","1,318","1,224","1,264","1,179","1,195","1,123","1,139","1,136","1,142","1,138","1,143","1,148","1,157"
18,"1,196","1,139","1,130","1,092","1,180","1,201","1,187","1,185","1,227","1,238","1,181","1,265","1,261","1,288","1,253","1,168","1,204","1,125","1,140","1,073","1,088","1,086","1,091","1,087","1,092","1,097"
19,"1,101","1,087","1,039","1,030","1,003","1,077","1,097","1,088","1,085","1,123","1,138","1,085","1,166","1,158","1,180","1,148","1,074","1,105","1,035","1,049",989,"1,003","1,001","1,006","1,002","1,007"
20,"1,076","1,082","1,060","1,013","1,006",984,"1,054","1,074","1,066","1,063","1,100","1,118","1,065","1,145","1,135","1,155","1,125","1,054","1,083","1,016","1,029",971,985,983,988,984
21,"1,139","1,084","1,094","1,068","1,023","1,012",995,"1,061","1,081","1,073","1,072","1,109","1,126","1,075","1,155","1,143","1,162","1,132","1,064","1,091","1,028","1,040",982,996,994,999
22,"1,152","1,137","1,082","1,093","1,064","1,020","1,005",991,"1,055","1,076","1,067","1,067","1,107","1,124","1,073","1,153","1,139","1,159","1,128","1,062","1,087","1,026","1,038",979,995,992
23,"1,110","1,133","1,125","1,073","1,083","1,050","1,008",997,983,"1,044","1,064","1,057","1,058","1,097","1,114","1,064","1,143","1,126","1,146","1,115","1,053","1,076","1,017","1,028",972,987
24,"1,076","1,090","1,116","1,113","1,061","1,069","1,034",993,985,970,"1,029","1,049","1,042","1,044","1,082","1,101","1,051","1,129","1,111","1,129","1,101","1,040","1,062","1,005","1,014",962
25,"1,114","1,051","1,063","1,093","1,089","1,039","1,046","1,010",971,961,949,"1,006","1,025","1,018","1,022","1,058","1,076","1,028","1,105","1,084","1,102","1,075","1,017","1,038",983,993
26,"1,026","1,091","1,027","1,038","1,065","1,060","1,016","1,023",985,948,937,927,981,999,992,998,"1,034","1,051","1,006","1,079","1,058","1,076","1,049",994,"1,013",961
27,957,"1,041","1,098","1,037","1,047","1,070","1,067","1,025","1,033",991,956,945,935,987,"1,004",998,"1,006","1,043","1,059","1,016","1,089","1,067","1,085","1,057","1,005","1,023"
