"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ayrshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"112,550","112,471","112,321","112,169","112,011","111,780","111,572","111,350","111,114","110,870","110,612","110,348","110,060","109,746","109,427","109,077","108,717","108,343","107,974","107,581","107,203","106,812","106,425","106,025","105,605","105,191"
0,938,916,911,905,893,885,881,876,866,864,860,852,847,841,838,831,831,828,823,821,822,823,819,817,815,811
1,952,954,929,928,919,908,902,898,893,883,881,878,869,864,859,856,849,849,846,841,839,840,841,837,835,833
2,"1,061",972,975,951,950,937,928,923,919,914,904,902,899,890,885,880,877,870,870,867,862,860,861,862,858,856
3,"1,107","1,076",987,989,966,964,952,943,937,933,928,918,916,913,904,899,894,891,884,884,881,876,874,875,876,872
4,"1,039","1,120","1,087",998,"1,000",976,974,962,953,947,943,938,928,926,923,914,909,904,901,894,894,891,886,884,885,886
5,"1,074","1,043","1,126","1,093","1,002","1,005",981,979,967,958,952,948,943,933,931,928,919,914,909,906,899,899,896,891,889,890
6,"1,087","1,085","1,058","1,140","1,107","1,015","1,017",993,991,979,970,964,960,955,945,943,940,931,926,921,918,911,911,908,903,901
7,"1,206","1,097","1,093","1,066","1,148","1,113","1,022","1,025","1,001",999,987,978,972,968,963,953,951,948,939,934,929,926,919,919,916,911
8,"1,159","1,214","1,107","1,099","1,074","1,155","1,119","1,029","1,033","1,009","1,007",995,986,980,976,971,961,959,956,947,942,937,934,927,927,924
9,"1,172","1,164","1,216","1,111","1,102","1,077","1,159","1,123","1,032","1,036","1,012","1,010",998,989,983,979,974,964,962,959,950,945,940,937,930,930
10,"1,182","1,182","1,171","1,223","1,119","1,108","1,083","1,164","1,128","1,038","1,042","1,018","1,016","1,004",995,989,985,980,970,968,965,956,951,946,943,936
11,"1,154","1,187","1,188","1,176","1,229","1,125","1,113","1,090","1,171","1,135","1,045","1,049","1,025","1,023","1,011","1,002",996,992,987,977,975,972,963,958,953,950
12,"1,108","1,157","1,191","1,191","1,178","1,231","1,128","1,115","1,092","1,173","1,137","1,047","1,051","1,027","1,025","1,013","1,004",998,994,989,979,977,974,965,960,955
13,"1,185","1,115","1,165","1,201","1,202","1,188","1,242","1,139","1,126","1,101","1,183","1,147","1,056","1,060","1,036","1,034","1,022","1,013","1,007","1,003",998,988,986,983,974,969
14,"1,121","1,187","1,116","1,165","1,199","1,201","1,187","1,242","1,139","1,126","1,101","1,183","1,147","1,056","1,060","1,036","1,034","1,022","1,013","1,007","1,003",998,988,986,983,974
15,"1,093","1,121","1,185","1,116","1,165","1,202","1,202","1,187","1,243","1,140","1,127","1,101","1,183","1,147","1,056","1,060","1,036","1,034","1,022","1,013","1,007","1,003",998,988,986,983
16,"1,094","1,092","1,120","1,182","1,113","1,162","1,199","1,200","1,185","1,241","1,138","1,125","1,099","1,181","1,145","1,054","1,058","1,034","1,032","1,020","1,011","1,005","1,001",996,986,984
17,"1,149","1,091","1,091","1,121","1,179","1,112","1,162","1,200","1,203","1,186","1,243","1,142","1,127","1,100","1,182","1,146","1,055","1,059","1,034","1,032","1,020","1,011","1,005","1,001",996,986
18,"1,172","1,092","1,037","1,039","1,070","1,120","1,059","1,109","1,144","1,146","1,133","1,185","1,086","1,076","1,050","1,125","1,092","1,005","1,009",984,984,972,963,957,953,948
19,"1,125","1,111","1,036",983,985,"1,010","1,058","1,002","1,053","1,085","1,087","1,075","1,125","1,029","1,021",997,"1,065","1,035",951,954,931,931,920,910,905,901
20,"1,196","1,133","1,118","1,043",989,990,"1,017","1,063","1,009","1,061","1,093","1,094","1,085","1,132","1,037","1,030","1,006","1,072","1,042",960,961,938,938,927,917,912
21,"1,220","1,208","1,143","1,129","1,057","1,000","1,000","1,030","1,075","1,024","1,076","1,105","1,108","1,099","1,147","1,052","1,044","1,020","1,085","1,054",975,975,952,952,941,931
22,"1,151","1,202","1,189","1,129","1,112","1,043",988,990,"1,020","1,061","1,013","1,065","1,093","1,096","1,088","1,134","1,042","1,035","1,011","1,073","1,043",966,968,944,944,933
23,"1,164","1,140","1,191","1,181","1,123","1,105","1,035",981,983,"1,012","1,052","1,004","1,056","1,083","1,088","1,078","1,124","1,035","1,027","1,004","1,063","1,035",960,962,939,940
24,"1,241","1,143","1,119","1,167","1,159","1,103","1,083","1,017",964,966,994,"1,032",987,"1,036","1,063","1,070","1,060","1,105","1,020","1,012",989,"1,044","1,017",945,947,924
25,"1,119","1,202","1,113","1,090","1,135","1,128","1,073","1,054",990,937,941,968,"1,005",960,"1,008","1,036","1,043","1,032","1,079",996,989,965,"1,018",992,922,924
26,"1,118","1,096","1,174","1,083","1,067","1,105","1,100","1,047","1,027",964,914,918,944,980,936,982,"1,009","1,016","1,006","1,052",973,965,941,992,968,899
27,"1,111","1,112","1,087","1,163","1,074","1,057","1,093","1,087","1,037","1,015",955,908,911,936,971,929,974,"1,000","1,008",998,"1,041",966,959,935,983,960
28,"1,076","1,099","1,098","1,069","1,140","1,054","1,040","1,072","1,065","1,018",994,936,888,890,916,950,910,955,979,986,976,"1,019",945,940,917,962
29,"1,107","1,071","1,095","1,096","1,064","1,134","1,050","1,034","1,066","1,057","1,012",988,932,885,886,912,946,905,951,973,982,971,"1,013",942,937,914
30,"1,119","1,100","1,067","1,094","1,094","1,061","1,129","1,047","1,033","1,064","1,054","1,011",984,932,885,886,914,947,907,952,974,984,973,"1,012",945,940
31,"1,194","1,113","1,089","1,057","1,085","1,090","1,054","1,119","1,039","1,025","1,057","1,046","1,004",976,925,879,879,907,940,899,945,967,977,966,"1,005",938
32,"1,069","1,204","1,129","1,106","1,077","1,105","1,108","1,074","1,135","1,058","1,042","1,074","1,063","1,020",992,940,896,896,924,957,916,962,984,996,984,"1,023"
33,"1,096","1,084","1,210","1,140","1,121","1,094","1,120","1,123","1,090","1,149","1,073","1,055","1,088","1,078","1,034","1,005",952,908,908,937,971,929,975,998,"1,012",999
34,"1,084","1,102","1,089","1,209","1,145","1,127","1,099","1,126","1,130","1,096","1,153","1,079","1,061","1,093","1,084","1,039","1,009",958,914,915,945,978,937,982,"1,006","1,020"
