"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"319,020","319,769","320,507","321,157","321,849","322,472","323,092","323,686","324,211","324,741","325,243","325,710","326,115","326,462","326,771","327,049","327,288","327,503","327,648","327,778","327,888","327,978","328,034","328,054","328,031","328,001"
0,"3,198","3,025","3,054","3,049","3,032","3,027","3,035","3,029","3,032","3,031","3,022","3,016","3,013","3,000","2,996","2,988","2,986","2,983","2,984","2,988","3,001","3,011","3,021","3,022","3,030","3,025"
1,"3,358","3,237","3,064","3,090","3,094","3,077","3,071","3,077","3,070","3,072","3,071","3,062","3,056","3,053","3,040","3,036","3,028","3,026","3,023","3,024","3,028","3,041","3,052","3,062","3,063","3,071"
2,"3,343","3,404","3,279","3,108","3,137","3,135","3,121","3,116","3,122","3,115","3,117","3,116","3,107","3,101","3,098","3,085","3,081","3,073","3,071","3,068","3,069","3,073","3,086","3,097","3,108","3,109"
3,"3,472","3,371","3,424","3,298","3,131","3,158","3,157","3,144","3,139","3,145","3,138","3,140","3,139","3,130","3,124","3,121","3,108","3,104","3,096","3,094","3,091","3,092","3,096","3,109","3,120","3,131"
4,"3,432","3,492","3,394","3,449","3,319","3,152","3,180","3,179","3,166","3,161","3,167","3,160","3,162","3,161","3,152","3,146","3,144","3,130","3,126","3,119","3,117","3,114","3,115","3,119","3,132","3,142"
5,"3,533","3,460","3,517","3,418","3,470","3,339","3,173","3,202","3,201","3,188","3,183","3,189","3,182","3,184","3,183","3,174","3,168","3,166","3,152","3,148","3,141","3,139","3,136","3,137","3,141","3,154"
6,"3,604","3,538","3,472","3,528","3,430","3,478","3,346","3,180","3,210","3,209","3,196","3,191","3,197","3,190","3,192","3,191","3,182","3,176","3,174","3,160","3,156","3,149","3,147","3,144","3,145","3,149"
7,"3,669","3,628","3,559","3,488","3,546","3,444","3,491","3,358","3,195","3,225","3,224","3,211","3,206","3,212","3,205","3,207","3,206","3,197","3,191","3,189","3,175","3,171","3,164","3,162","3,159","3,160"
8,"3,466","3,704","3,662","3,590","3,519","3,576","3,475","3,518","3,383","3,222","3,251","3,250","3,237","3,232","3,238","3,231","3,233","3,232","3,223","3,217","3,215","3,201","3,197","3,190","3,188","3,185"
9,"3,593","3,472","3,718","3,672","3,600","3,531","3,582","3,485","3,526","3,391","3,230","3,258","3,257","3,244","3,239","3,245","3,238","3,240","3,239","3,230","3,224","3,222","3,208","3,204","3,197","3,195"
10,"3,642","3,607","3,492","3,740","3,690","3,622","3,551","3,602","3,503","3,543","3,407","3,247","3,276","3,275","3,262","3,257","3,264","3,256","3,259","3,258","3,249","3,242","3,241","3,226","3,222","3,215"
11,"3,550","3,657","3,625","3,511","3,758","3,708","3,641","3,569","3,618","3,519","3,559","3,421","3,261","3,290","3,290","3,277","3,271","3,278","3,270","3,273","3,272","3,263","3,256","3,255","3,239","3,235"
12,"3,479","3,563","3,672","3,636","3,519","3,768","3,720","3,654","3,580","3,628","3,528","3,567","3,428","3,270","3,298","3,299","3,286","3,279","3,286","3,278","3,281","3,280","3,271","3,264","3,263","3,247"
13,"3,380","3,486","3,571","3,678","3,646","3,529","3,777","3,729","3,662","3,587","3,635","3,534","3,572","3,432","3,274","3,303","3,303","3,290","3,284","3,291","3,283","3,286","3,285","3,276","3,269","3,268"
14,"3,365","3,386","3,492","3,573","3,682","3,652","3,535","3,784","3,733","3,668","3,592","3,640","3,539","3,577","3,437","3,281","3,308","3,310","3,296","3,289","3,296","3,288","3,291","3,290","3,282","3,274"
15,"3,176","3,369","3,386","3,484","3,568","3,681","3,650","3,531","3,783","3,729","3,666","3,590","3,638","3,537","3,573","3,432","3,280","3,308","3,309","3,295","3,289","3,296","3,288","3,291","3,290","3,282"
16,"3,286","3,179","3,372","3,388","3,490","3,567","3,680","3,651","3,533","3,785","3,729","3,668","3,592","3,640","3,538","3,574","3,432","3,281","3,308","3,309","3,295","3,289","3,296","3,288","3,291","3,290"
17,"3,395","3,280","3,174","3,362","3,380","3,482","3,560","3,671","3,640","3,522","3,777","3,720","3,657","3,582","3,630","3,529","3,565","3,419","3,270","3,297","3,298","3,284","3,278","3,285","3,277","3,280"
18,"3,487","3,300","3,187","3,083","3,266","3,284","3,381","3,460","3,570","3,540","3,424","3,675","3,620","3,559","3,483","3,531","3,435","3,467","3,322","3,178","3,206","3,208","3,194","3,187","3,194","3,186"
19,"3,484","3,334","3,155","3,044","2,948","3,126","3,145","3,237","3,315","3,425","3,396","3,282","3,530","3,474","3,414","3,341","3,386","3,294","3,320","3,180","3,043","3,072","3,074","3,060","3,053","3,060"
20,"3,354","3,492","3,334","3,155","3,041","2,954","3,128","3,146","3,240","3,318","3,429","3,402","3,288","3,535","3,480","3,417","3,346","3,389","3,297","3,322","3,182","3,044","3,073","3,075","3,061","3,054"
21,"3,544","3,381","3,514","3,347","3,176","3,057","2,976","3,149","3,165","3,262","3,340","3,450","3,425","3,311","3,556","3,505","3,437","3,368","3,410","3,319","3,341","3,202","3,064","3,094","3,097","3,083"
22,"3,532","3,556","3,397","3,528","3,353","3,187","3,066","2,989","3,159","3,173","3,272","3,349","3,463","3,437","3,324","3,568","3,517","3,447","3,380","3,419","3,330","3,346","3,207","3,071","3,101","3,105"
23,"3,545","3,534","3,565","3,413","3,537","3,358","3,191","3,070","2,999","3,165","3,179","3,276","3,353","3,471","3,447","3,333","3,577","3,524","3,456","3,387","3,425","3,340","3,347","3,212","3,077","3,108"
24,"3,782","3,558","3,542","3,570","3,422","3,542","3,363","3,198","3,083","3,013","3,171","3,187","3,282","3,361","3,478","3,456","3,344","3,585","3,534","3,463","3,397","3,432","3,350","3,353","3,220","3,091"
25,"3,737","3,759","3,539","3,534","3,561","3,409","3,524","3,345","3,185","3,073","3,003","3,160","3,176","3,267","3,345","3,462","3,444","3,331","3,573","3,517","3,450","3,384","3,418","3,337","3,335","3,207"
