"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"94,330","94,771","95,251","95,711","96,080","96,504","96,970","97,427","97,897","98,352","98,836","99,289","99,727","100,149","100,561","100,965","101,341","101,721","102,057","102,391","102,709","103,030","103,347","103,659","103,978","104,273"
0,815,764,786,793,791,802,808,816,821,825,828,831,834,838,840,845,843,846,846,853,851,852,854,857,858,855
1,802,834,784,809,817,816,826,832,840,845,849,852,855,858,862,864,869,867,870,870,877,875,876,878,881,882
2,901,826,857,806,832,840,839,849,855,863,868,872,875,878,881,885,887,892,890,893,893,900,898,899,901,904
3,856,918,841,871,817,844,854,853,863,869,877,882,886,889,892,895,899,901,906,904,907,907,914,912,913,915
4,920,881,945,869,898,842,869,879,878,888,894,902,907,911,914,917,920,924,926,931,929,932,932,939,937,938
5,940,933,896,959,882,912,855,882,892,891,901,907,915,920,924,927,930,933,937,939,944,942,945,945,952,950
6,992,958,951,911,973,897,928,871,897,907,906,916,922,930,935,939,942,945,948,952,954,959,957,960,960,967
7,975,"1,013",980,972,931,993,918,949,891,916,927,925,935,941,949,954,958,961,964,967,971,973,978,976,979,979
8,958,992,"1,029",995,989,948,"1,009",934,964,907,931,942,940,950,956,964,969,973,976,979,982,986,988,993,991,994
9,"1,000",972,"1,004","1,039","1,005",997,958,"1,018",943,973,916,938,950,948,957,963,971,976,980,983,986,989,993,995,"1,000",998
10,"1,022","1,032",999,"1,033","1,071","1,037","1,026",987,"1,047",971,"1,000",943,965,977,975,984,990,998,"1,003","1,007","1,010","1,013","1,016","1,020","1,022","1,027"
11,"1,053","1,051","1,065","1,029","1,063","1,100","1,067","1,055","1,015","1,075",999,"1,028",971,992,"1,004","1,002","1,011","1,017","1,025","1,030","1,034","1,037","1,040","1,043","1,047","1,049"
12,"1,051","1,058","1,059","1,074","1,039","1,073","1,108","1,074","1,063","1,023","1,083","1,007","1,036",979,"1,000","1,012","1,010","1,019","1,025","1,033","1,038","1,042","1,045","1,048","1,051","1,055"
13,"1,065","1,061","1,070","1,071","1,084","1,048","1,084","1,119","1,085","1,074","1,033","1,093","1,017","1,046",989,"1,010","1,022","1,020","1,029","1,035","1,043","1,048","1,052","1,055","1,058","1,061"
14,"1,117","1,072","1,069","1,077","1,081","1,092","1,056","1,094","1,129","1,095","1,084","1,043","1,103","1,027","1,055",998,"1,019","1,031","1,029","1,038","1,044","1,052","1,057","1,061","1,064","1,067"
15,"1,047","1,134","1,088","1,084","1,094","1,101","1,112","1,077","1,114","1,151","1,117","1,105","1,063","1,123","1,047","1,074","1,017","1,038","1,050","1,048","1,057","1,063","1,071","1,076","1,080","1,083"
16,977,"1,041","1,123","1,077","1,073","1,083","1,093","1,102","1,067","1,104","1,141","1,106","1,094","1,053","1,112","1,036","1,063","1,006","1,027","1,039","1,037","1,046","1,052","1,060","1,065","1,069"
17,"1,060","1,005","1,059","1,137","1,094","1,091","1,101","1,112","1,121","1,086","1,123","1,161","1,125","1,113","1,072","1,131","1,055","1,080","1,023","1,044","1,056","1,054","1,063","1,069","1,077","1,082"
18,"1,250","1,186","1,137","1,179","1,249","1,225","1,226","1,237","1,254","1,266","1,228","1,270","1,297","1,264","1,249","1,212","1,262","1,189","1,207","1,152","1,172","1,183","1,182","1,190","1,196","1,204"
19,"1,530","1,496","1,439","1,383","1,404","1,480","1,470","1,481","1,495","1,521","1,543","1,501","1,548","1,568","1,533","1,513","1,474","1,519","1,444","1,452","1,396","1,413","1,424","1,423","1,431","1,435"
20,"1,672","1,625","1,592","1,534","1,473","1,497","1,575","1,570","1,581","1,597","1,624","1,650","1,604","1,654","1,673","1,639","1,617","1,580","1,624","1,547","1,552","1,496","1,513","1,524","1,523","1,531"
21,"1,802","1,644","1,617","1,584","1,525","1,473","1,485","1,567","1,564","1,576","1,589","1,618","1,643","1,599","1,652","1,667","1,632","1,610","1,575","1,615","1,541","1,545","1,490","1,507","1,517","1,516"
22,"1,603","1,679","1,550","1,531","1,495","1,440","1,390","1,404","1,481","1,477","1,490","1,503","1,533","1,555","1,513","1,567","1,580","1,544","1,523","1,492","1,528","1,459","1,460","1,408","1,426","1,436"
23,"1,502","1,478","1,542","1,434","1,414","1,369","1,333","1,288","1,301","1,373","1,368","1,384","1,394","1,423","1,443","1,404","1,458","1,467","1,432","1,414","1,385","1,417","1,355","1,355","1,306","1,323"
24,"1,332","1,409","1,389","1,446","1,347","1,330","1,290","1,254","1,211","1,223","1,293","1,286","1,302","1,309","1,340","1,360","1,321","1,375","1,382","1,348","1,331","1,303","1,332","1,276","1,273","1,226"
25,"1,212","1,285","1,353","1,334","1,380","1,293","1,282","1,238","1,203","1,162","1,175","1,242","1,233","1,250","1,256","1,288","1,306","1,268","1,324","1,327","1,294","1,278","1,252","1,278","1,226","1,223"
26,"1,337","1,187","1,253","1,313","1,298","1,337","1,259","1,242","1,198","1,165","1,124","1,138","1,202","1,192","1,211","1,214","1,247","1,264","1,227","1,284","1,286","1,252","1,237","1,212","1,237","1,185"
27,"1,313","1,312","1,176","1,236","1,287","1,278","1,314","1,240","1,224","1,179","1,148","1,107","1,119","1,182","1,173","1,193","1,197","1,231","1,246","1,209","1,266","1,268","1,234","1,218","1,195","1,219"
28,"1,351","1,275","1,277","1,155","1,206","1,256","1,242","1,277","1,206","1,190","1,148","1,116","1,076","1,088","1,149","1,140","1,161","1,164","1,199","1,214","1,176","1,235","1,235","1,202","1,185","1,164"
29,"1,287","1,314","1,258","1,262","1,144","1,187","1,235","1,219","1,254","1,186","1,170","1,127","1,098","1,061","1,069","1,129","1,120","1,144","1,144","1,181","1,195","1,157","1,216","1,215","1,183","1,166"
30,"1,125","1,274","1,304","1,257","1,264","1,150","1,189","1,233","1,218","1,252","1,185","1,169","1,127","1,097","1,062","1,069","1,127","1,121","1,145","1,144","1,180","1,193","1,156","1,216","1,213","1,181"
