"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"89,130","88,990","88,821","88,637","88,413","88,188","87,998","87,809","87,595","87,371","87,141","86,881","86,615","86,352","86,064","85,785","85,499","85,206","84,884","84,574","84,247","83,922","83,593","83,240","82,889","82,537"
0,867,856,864,855,852,847,845,837,831,821,816,810,806,810,802,800,790,789,790,790,789,792,798,794,792,795
1,909,859,850,860,851,847,842,841,833,827,817,812,806,802,806,798,796,786,785,786,786,785,788,794,790,788
2,963,907,854,845,856,847,843,838,837,829,823,813,808,802,798,802,794,792,782,781,782,782,781,784,790,786
3,929,967,913,861,851,861,852,848,843,842,834,828,818,813,807,803,807,799,797,787,786,787,787,786,789,795
4,958,931,969,913,859,850,862,852,848,843,842,834,828,818,813,807,803,807,799,797,787,786,787,787,786,789
5,"1,032",956,929,967,910,855,848,860,850,846,841,840,832,826,816,811,805,801,805,797,795,785,784,785,785,784
6,"1,053","1,032",957,930,965,909,854,848,860,850,846,841,840,832,826,816,811,805,801,805,797,795,785,784,785,785
7,"1,050","1,046","1,026",951,921,957,901,847,840,852,842,838,833,832,824,818,808,803,797,793,797,789,787,777,776,777
8,"1,034","1,057","1,049","1,028",953,924,960,904,850,843,855,845,841,836,835,827,821,811,806,800,796,800,792,790,780,779
9,"1,056","1,036","1,060","1,052","1,027",956,927,963,907,852,845,857,847,843,838,837,829,823,813,808,802,798,802,794,792,782
10,"1,051","1,058","1,038","1,063","1,051","1,028",959,930,966,909,853,846,858,848,844,839,838,830,824,814,809,803,799,803,795,793
11,"1,008","1,048","1,051","1,032","1,058","1,045","1,022",953,924,960,903,847,840,852,842,838,833,832,824,818,809,804,798,794,798,790
12,955,"1,009","1,047","1,049","1,031","1,058","1,044","1,021",952,923,959,902,847,839,851,841,837,832,831,823,817,808,803,797,793,797
13,982,961,"1,014","1,052","1,054","1,036","1,064","1,050","1,027",958,929,965,908,852,844,856,846,842,837,836,828,822,813,808,802,798
14,938,984,961,"1,013","1,051","1,051","1,035","1,065","1,051","1,027",958,929,965,908,852,844,856,846,842,837,836,828,822,813,808,802
15,920,937,982,959,"1,011","1,049","1,049","1,034","1,065","1,050","1,026",957,928,964,907,851,843,854,844,840,835,834,826,820,811,806
16,894,927,940,987,964,"1,017","1,053","1,056","1,041","1,071","1,056","1,033",964,935,971,914,857,850,861,851,847,842,841,833,827,818
17,901,892,927,939,986,963,"1,017","1,053","1,056","1,041","1,071","1,056","1,033",964,935,971,914,857,850,861,851,847,842,841,833,827
18,952,890,872,909,926,967,946,999,"1,034","1,039","1,024","1,053","1,039","1,015",946,918,953,897,840,834,845,835,831,826,825,817
19,955,932,872,852,891,907,947,926,978,"1,013","1,019","1,002","1,034","1,018",994,927,902,934,880,823,818,828,818,814,809,808
20,990,969,944,884,862,901,918,957,936,989,"1,024","1,031","1,013","1,047","1,029","1,005",938,914,945,891,835,828,839,829,824,819
21,"1,023","1,003",976,947,888,866,905,922,960,939,992,"1,027","1,034","1,017","1,051","1,033","1,008",944,921,951,896,841,836,847,837,832
22,"1,028","1,025","1,004",977,944,890,866,903,920,957,938,991,"1,026","1,033","1,015","1,051","1,032","1,007",944,922,951,897,842,835,846,836
23,"1,092","1,031","1,028","1,009",982,947,894,868,905,922,959,940,993,"1,028","1,035","1,018","1,054","1,035","1,010",948,926,955,900,847,840,851
24,"1,109","1,087","1,024","1,021","1,001",975,939,885,860,897,915,951,932,985,"1,020","1,026","1,009","1,046","1,027","1,002",940,920,947,893,841,833
25,"1,166","1,109","1,092","1,031","1,025","1,007",983,945,892,866,903,921,955,937,990,"1,025","1,032","1,015","1,052","1,033","1,008",948,928,955,900,850
26,"1,202","1,176","1,122","1,105","1,043","1,038","1,021",998,960,907,880,917,934,968,951,"1,004","1,040","1,046","1,030","1,068","1,049","1,024",965,945,971,916
27,"1,200","1,201","1,176","1,125","1,109","1,047","1,042","1,026","1,002",965,913,884,920,936,971,954,"1,007","1,043","1,047","1,031","1,072","1,051","1,027",968,949,974
28,"1,156","1,205","1,206","1,177","1,126","1,111","1,051","1,046","1,030","1,007",968,917,887,922,937,974,957,"1,008","1,043","1,049","1,033","1,075","1,054","1,030",972,953
29,"1,101","1,165","1,217","1,215","1,183","1,131","1,118","1,061","1,056","1,039","1,015",975,925,894,928,943,981,964,"1,013","1,049","1,055","1,040","1,080","1,059","1,035",979
30,"1,139","1,106","1,166","1,222","1,215","1,179","1,128","1,117","1,060","1,054","1,038","1,014",974,924,894,927,941,978,961,"1,011","1,046","1,052","1,038","1,078","1,058","1,033"
31,"1,153","1,143","1,109","1,170","1,221","1,218","1,180","1,129","1,116","1,062","1,056","1,040","1,015",975,927,895,927,941,978,962,"1,010","1,047","1,054","1,040","1,078","1,059"
32,"1,187","1,148","1,141","1,114","1,167","1,220","1,215","1,178","1,128","1,115","1,060","1,054","1,040","1,015",973,927,897,928,942,977,962,"1,009","1,048","1,055","1,041","1,079"
33,"1,149","1,200","1,160","1,153","1,132","1,182","1,234","1,230","1,191","1,141","1,129","1,074","1,067","1,054","1,027",986,940,909,939,955,989,974,"1,021","1,060","1,068","1,054"
34,"1,015","1,131","1,179","1,137","1,128","1,110","1,160","1,212","1,207","1,167","1,118","1,105","1,052","1,044","1,032","1,005",964,919,887,918,933,967,952,999,"1,037","1,045"
35,"1,110","1,018","1,130","1,178","1,134","1,130","1,113","1,160","1,213","1,208","1,167","1,117","1,105","1,052","1,044","1,032","1,005",963,917,886,916,931,965,950,997,"1,036"
36,"1,098","1,113","1,022","1,131","1,179","1,132","1,133","1,117","1,163","1,217","1,213","1,170","1,121","1,108","1,055","1,048","1,036","1,009",965,920,888,918,932,967,952,999
37,"1,180","1,094","1,111","1,020","1,131","1,176","1,130","1,134","1,120","1,165","1,219","1,216","1,172","1,121","1,108","1,056","1,049","1,037","1,009",965,920,888,918,931,965,950
38,999,"1,170","1,088","1,104","1,015","1,121","1,168","1,124","1,128","1,115","1,159","1,214","1,212","1,166","1,116","1,103","1,052","1,045","1,033","1,005",960,916,884,914,926,960
