"2018-based principal population projections by sex, single year of age and year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lothian,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"182,140","183,369","184,631","185,797","186,919","188,014","189,065","190,057","191,000","191,931","192,812","193,651","194,464","195,240","195,984","196,707","197,439","198,127","198,812","199,495","200,153","200,806","201,465","202,113","202,721","203,320"
0,"1,915","1,847","1,873","1,877","1,887","1,894","1,905","1,914","1,916","1,926","1,932","1,937","1,936","1,936","1,937","1,937","1,946","1,952","1,954","1,958","1,968","1,973","1,979","1,986","1,981","1,987"
1,"2,018","1,952","1,890","1,909","1,912","1,920","1,929","1,940","1,949","1,951","1,961","1,967","1,972","1,971","1,971","1,972","1,972","1,981","1,987","1,989","1,993","2,003","2,008","2,014","2,021","2,016"
2,"2,043","2,058","1,997","1,934","1,954","1,957","1,963","1,970","1,981","1,990","1,992","2,002","2,008","2,013","2,012","2,012","2,013","2,013","2,022","2,028","2,030","2,034","2,044","2,049","2,055","2,062"
3,"2,159","2,077","2,091","2,028","1,966","1,986","1,989","1,994","2,001","2,012","2,021","2,023","2,034","2,039","2,044","2,043","2,043","2,044","2,044","2,053","2,059","2,061","2,065","2,075","2,080","2,086"
4,"2,222","2,188","2,111","2,120","2,058","1,996","2,013","2,016","2,021","2,028","2,038","2,047","2,049","2,060","2,065","2,070","2,069","2,069","2,070","2,070","2,079","2,085","2,087","2,091","2,101","2,106"
5,"2,226","2,258","2,227","2,147","2,152","2,090","2,027","2,044","2,047","2,053","2,059","2,069","2,079","2,081","2,091","2,097","2,102","2,101","2,101","2,102","2,101","2,111","2,117","2,119","2,123","2,133"
6,"2,239","2,238","2,271","2,240","2,160","2,166","2,102","2,039","2,056","2,060","2,066","2,071","2,081","2,091","2,093","2,103","2,109","2,114","2,113","2,113","2,114","2,113","2,123","2,129","2,131","2,135"
7,"2,439","2,254","2,256","2,287","2,256","2,178","2,180","2,115","2,054","2,071","2,075","2,081","2,086","2,096","2,106","2,108","2,118","2,124","2,128","2,128","2,127","2,129","2,128","2,138","2,144","2,146"
8,"2,278","2,436","2,252","2,252","2,285","2,253","2,176","2,176","2,112","2,051","2,068","2,072","2,078","2,083","2,093","2,103","2,105","2,115","2,121","2,125","2,125","2,124","2,126","2,125","2,135","2,141"
9,"2,445","2,274","2,431","2,248","2,247","2,280","2,247","2,170","2,169","2,105","2,044","2,061","2,065","2,071","2,076","2,086","2,096","2,098","2,108","2,114","2,118","2,118","2,117","2,119","2,118","2,128"
10,"2,437","2,450","2,277","2,434","2,252","2,250","2,279","2,247","2,170","2,168","2,104","2,043","2,060","2,064","2,070","2,075","2,085","2,095","2,097","2,107","2,113","2,117","2,117","2,116","2,118","2,117"
11,"2,327","2,450","2,463","2,290","2,445","2,265","2,261","2,291","2,259","2,181","2,178","2,114","2,052","2,069","2,073","2,079","2,084","2,094","2,104","2,106","2,116","2,122","2,126","2,126","2,125","2,127"
12,"2,277","2,333","2,455","2,462","2,294","2,444","2,267","2,260","2,290","2,258","2,181","2,177","2,112","2,050","2,067","2,071","2,077","2,082","2,092","2,102","2,104","2,114","2,120","2,124","2,124","2,123"
13,"2,253","2,283","2,341","2,464","2,472","2,302","2,454","2,276","2,269","2,299","2,266","2,189","2,184","2,119","2,057","2,074","2,078","2,084","2,089","2,099","2,109","2,111","2,121","2,127","2,131","2,131"
14,"2,158","2,254","2,286","2,341","2,465","2,476","2,307","2,457","2,281","2,273","2,303","2,268","2,191","2,186","2,121","2,059","2,074","2,078","2,084","2,089","2,099","2,109","2,111","2,121","2,127","2,131"
15,"2,049","2,157","2,255","2,287","2,343","2,466","2,478","2,308","2,459","2,282","2,274","2,304","2,269","2,192","2,187","2,122","2,060","2,075","2,079","2,085","2,090","2,100","2,110","2,112","2,122","2,128"
16,"2,089","2,052","2,164","2,261","2,292","2,351","2,473","2,484","2,312","2,464","2,286","2,278","2,308","2,273","2,196","2,192","2,126","2,063","2,079","2,083","2,089","2,094","2,104","2,114","2,116","2,126"
17,"2,111","2,067","2,034","2,147","2,243","2,275","2,335","2,456","2,467","2,297","2,449","2,271","2,263","2,293","2,257","2,181","2,177","2,111","2,048","2,064","2,068","2,074","2,079","2,089","2,099","2,100"
18,"1,977","2,003","1,956","1,924","2,036","2,128","2,157","2,215","2,330","2,340","2,178","2,325","2,156","2,143","2,175","2,141","2,066","2,061","1,998","1,940","1,955","1,959","1,965","1,970","1,980","1,990"
19,"1,983","1,858","1,875","1,824","1,800","1,905","1,990","2,019","2,078","2,186","2,193","2,043","2,185","2,024","2,009","2,040","2,010","1,938","1,929","1,869","1,816","1,830","1,833","1,839","1,844","1,854"
20,"1,885","1,996","1,873","1,885","1,832","1,809","1,916","2,000","2,029","2,088","2,192","2,201","2,057","2,198","2,039","2,022","2,055","2,023","1,952","1,943","1,881","1,826","1,840","1,843","1,849","1,854"
21,"2,035","1,898","2,009","1,879","1,890","1,838","1,817","1,919","2,001","2,031","2,089","2,189","2,199","2,058","2,199","2,041","2,024","2,057","2,025","1,956","1,946","1,883","1,829","1,844","1,847","1,853"
22,"2,076","2,076","1,949","2,057","1,924","1,934","1,879","1,859","1,959","2,039","2,068","2,126","2,229","2,237","2,099","2,240","2,083","2,068","2,098","2,067","1,999","1,988","1,926","1,871","1,888","1,890"
23,"2,134","2,144","2,155","2,031","2,134","1,995","2,004","1,948","1,929","2,028","2,106","2,138","2,195","2,297","2,308","2,172","2,311","2,157","2,143","2,170","2,138","2,073","2,061","1,998","1,943","1,958"
24,"2,285","2,142","2,158","2,172","2,054","2,149","2,013","2,021","1,964","1,948","2,043","2,121","2,151","2,211","2,307","2,317","2,187","2,323","2,175","2,158","2,187","2,156","2,092","2,079","2,016","1,963"
25,"2,185","2,289","2,157","2,175","2,187","2,074","2,161","2,028","2,034","1,975","1,962","2,055","2,132","2,161","2,223","2,315","2,326","2,200","2,332","2,190","2,171","2,199","2,169","2,108","2,092","2,032"
